Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50000010;CHICCO MOTAS DE ALGODON 100P..;1000;3000;CS;72,00;31017,60;0,000;0,00;0,750;323,10;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000010;CHICCO MOTAS DE ALGODON 100P..;1001;3000;CS;345,00;148626,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000017;LADYFACE DISCOS DE ALGODON 80P;1001;3000;CS;321,00;257082,48;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Lady Face;PH-Cotton Round;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000048;CHICCO CHAMPU ORIGINAL 200 CC;1001;3000;CS;77,00;47462,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000063;CHICCO ACEITE CREMOSO 100CC;1001;3000;CS;153,00;102118,32;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000064;CHICCO LOCION 100CC;1001;3000;CS;435,00;268308,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000066;CHICCO CHAMPU ORIGINAL 100CCC;1001;3000;CS;59,00;43272,96;1,000;733,44;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000067;CHICCO CHAMPU MANZANILLA 100CC;1001;3000;CS;928,00;736757,76;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000106;AMY TALCO 200G;1000;3000;CS;112,00;144748,80;0,000;0,00;1,667;2154,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Talco;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000106;AMY TALCO 200G;1001;3000;CS;287,00;370918,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000373;FRIENDS PD REGULAR S/P (12X40);1001;3000;CS;2909,00;723991,92;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000532;AMY CHAMPU 200CC OVAL;1001;3000;CS;160,00;77776,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000443;AMY HISOPOS (48x60UN)x1;1001;3000;CS;281,00;142837,92;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Amy;PH-Hisopos;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000554;FRIENDS PD MANZANILLA (12X40);1001;3000;CS;2362,00;630087,12;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000495;AMY LOCION OVAL 200 CC;1001;3000;CS;476,00;238190,40;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000517;123456789 123456789 123456789 0123456789;1001;3000;CS;300,00;98712,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Amy;PH-Motas De Algodón;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000626;SECUREZZA CLASSIC M REG (6x6);1001;3000;PAK;2888,00;1551375,84;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000632;SECUREZZA POST PARTO PREMIUM (12X10);1001;3000;PAK;1749,00;498674,88;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Toalla Post-Parto;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000639;SIEMPRE SECO BASICO M (6X6);1001;3000;PAK;1034,00;352263,12;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Siempre Seco;PH-Protector Incont.;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000640;SIEMPRE SECO BASICO G (6X6);1001;3000;PAK;1188,00;437302,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Siempre Seco;PH-Protector Incont.;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001039;CHICCO JABON EN BARRA PARA NIÑOS 90G;1001;3000;CS;442,00;491283,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Jabon en barra;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000921;SECUREZZA COMFORT M REG (6x6);1001;3000;PAK;1339,00;796410,42;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000922;SECUREZZA COMFORT L REG (6x6);1001;3000;PAK;100,00;68688,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000949;PHARSANA TALCO CORPORAL ANTIB. 150G;1001;3000;CS;634,00;477972,60;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Pharsana;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000951;SECUREZZA BODYCARE LOCION HIDRATAN 350ML;1001;3000;CS;421,00;364804,92;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Securezza;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000953;SECUREZZA BODYCARE JABON LIQ CORPO 200ML;1001;3000;CS;408,00;302572,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Securezza;PH-Jabón Líquido;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000955;SECUREZZA BC CREMA DERMO PROTECTORA 130G;1001;3000;CS;465,00;618431,40;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Securezza;PH-Crema Protectoras;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000956;SECUREZZA BODYCARE TH CORPORALES 54UN;1000;3000;CS;262,00;141008,40;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Securezza;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000956;SECUREZZA BODYCARE TH CORPORALES 54UN;1001;3000;CS;231,00;124324,20;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Securezza;PH-TH Flow Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000957;SECUREZZA PROTECTOR DE CAMA (6X10);1001;3000;PAK;487,00;251964,06;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Protector de Cama;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000963;CHICCO CHAMPU ORIGINAL 200 ML;1000;3000;CS;198,00;116503,20;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000963;CHICCO CHAMPU ORIGINAL 200 ML;1001;3000;CS;698,00;410703,20;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
