Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11000356;PAPEL SILICONADO 4 CM;1002;1000;KG;1465,30;1044698,13;0,000;0,00;32,800;23385,04;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11000356;PAPEL SILICONADO 4 CM;1002;2000;KG;325,92;232366,02;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000362;PAPEL SILICONADO 6  CM;1002;1000;KG;167,30;32902,46;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11000362;PAPEL SILICONADO 6  CM;1002;2000;KG;43,20;8496,03;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000368;HOT MELT POSICIONADOR;1002;1007;KG;15275,50;9576,76;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1007-Rechazado;1002-Pharsana Higienico
11000369;HOT MELT P/ELASTICAS;1002;1000;KG;2320,00;1785091,39;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11000369;HOT MELT P/ELASTICAS;1002;2000;KG;1143,57;879903,86;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000370;TAPE TRILAMINADO;1002;2000;M;1775,69;14844,07;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000370;TAPE TRILAMINADO;1002;2002;M;17100,00;142949,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2002-Rechazado;1002-Pharsana Higienico
11000388;ACEITE VASSA 7;1000;1000;KG;2186,25;2574552,59;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
