Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;TextAlm;TextCent
50000322;PAÑALERA AMY SEC NARANJA;1001;3011;CS;137,00;0,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES NIÑOS;Amy;PH-Pañal Anatóm. T3;3011-Muestras;1001-Pharsana Maracay
50000323;PAÑALERA AMY SEC MORADA;1001;3011;CS;268,00;0,000;0,000;20.02.2026 - 22:03:39;ABSORBENTES NIÑOS;Amy;PH-Pañal Anatóm. T3;3011-Muestras;1001-Pharsana Maracay
60000416;CHICCO BIBERON BLANCO GR FLENT 150ML(6X1;1001;3016;CS;6,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000417;CHICCO BIBERON VERDE BOY FLENT 150ML(6X1;1001;3002;CS;1,67;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000417;CHICCO BIBERON VERDE BOY FLENT 150ML(6X1;1001;3016;CS;4,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000417;CHICCO BIBERON VERDE BOY FLENT 150ML(6X1;1001;3018;CS;0,17;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3018-Rechazado;1001-Pharsana Maracay
60000418;CHICCO BIBERON NARANJ UNI FMED 250ML(6X1;1001;3002;CS;1,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000418;CHICCO BIBERON NARANJ UNI FMED 250ML(6X1;1001;3016;CS;4,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000420;CHICCO BIBERON VERDE BOY FMED 250ML(6X1;1001;3002;CS;1,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000420;CHICCO BIBERON VERDE BOY FMED 250ML(6X1;1001;3016;CS;5,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000373;CHICCO CEPILLO P/BIBERONES 3 EN 1 (6X1);1001;3002;CS;14,17;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000373;CHICCO CEPILLO P/BIBERONES 3 EN 1 (6X1);1001;3016;CS;56,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000378;CHICCO TIJERAS P/UÑAS BEBE ROSADO (6X1);1001;3002;CS;2,83;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
