Codigo_Mat;Denominacion Material;Fecha;UM;Cant_Notif;UM2;Cant_Notif2;Sector;Reproceso;Fecha-Hora
000000000070000666;ENVASE PET MAYONESA 200 ML;03.02.2026;PZA;244992,000;TO;4,719;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;04.02.2026;PZA;101376,000;TO;1,956;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);04.02.2026;PZA;8820,000;TO;0,204;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;05.02.2026;PZA;84480,000;TO;1,630;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000424;TAPA PUSH&PULL AMARILLO (PH);05.02.2026;PZA;18000,000;TO;0,083;TAPAS PROYECTOS PET;REPROCESO;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);05.02.2026;PZA;5292,000;TO;0,123;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000470;CILINDRICO PCO 28mm 400ml (23,00)Gr;05.02.2026;PZA;6272,000;TO;0,144;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);05.02.2026;PZA;2548,000;TO;0,045;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;06.02.2026;PZA;84480,000;TO;1,630;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000505;CILINDRICO PCO 28mm 400ml (23,00Gr)Ecomm;06.02.2026;PZA;980,000;TO;0,023;ECOMMERCE;REPROCESO;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);06.02.2026;PZA;7056,000;TO;0,163;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);06.02.2026;PZA;7644,000;TO;0,135;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000470;CILINDRICO PCO 28mm 400ml (23,00)Gr;06.02.2026;PZA;3136,000;TO;0,072;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);07.02.2026;PZA;7056,000;TO;0,164;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;07.02.2026;PZA;92928,000;TO;1,793;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);07.02.2026;PZA;5096,000;TO;0,090;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000080;ENVASE PET TRANSP ESPECIAS 100 G;07.02.2026;PZA;16800,000;TO;0,252;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);08.02.2026;PZA;3528,000;TO;0,082;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;08.02.2026;PZA;59136,000;TO;1,141;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);08.02.2026;PZA;2548,000;TO;0,045;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000080;ENVASE PET TRANSP ESPECIAS 100 G;08.02.2026;PZA;16800,000;TO;0,252;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;09.02.2026;PZA;33792,000;TO;0,652;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);09.02.2026;PZA;7056,000;TO;0,163;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);09.02.2026;PZA;5096,000;TO;0,091;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000808;ENVASE MULTIUSOS 828ml  (23g);10.02.2026;PZA;14112,000;TO;0,324;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;10.02.2026;PZA;76032,000;TO;1,467;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);10.02.2026;PZA;7644,000;TO;0,136;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;11.02.2026;PZA;92928,000;TO;1,793;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);11.02.2026;PZA;2548,000;TO;0,045;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000489;ENVASE MULTIUSOS 500ml  (17,82gr);12.02.2026;PZA;7644,000;TO;0,135;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;12.02.2026;PZA;50688,000;TO;0,978;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000470;CILINDRICO PCO 28mm 400ml (23,00)Gr;12.02.2026;PZA;3136,000;TO;0,072;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;13.02.2026;PZA;76032,000;TO;1,466;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000351;ENVASE PET BLANCO COSMETIC OVAL 200 (PH);13.02.2026;PZA;4680,000;TO;0,114;AOKI;REPROCESO;20.02.2026 - 22:01:53
000000000070000585;ENV PET TRANSP COSMETIC OVAL 200 ML (PH);13.02.2026;PZA;4680,000;TO;0,114;AOKI;REPROCESO;20.02.2026 - 22:01:53
000000000070000470;CILINDRICO PCO 28mm 400ml (23,00)Gr;13.02.2026;PZA;1666,000;TO;0,038;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000621;ENVASE LIMPIEZA 500ml (P) 27,90g;13.02.2026;PZA;2112,000;TO;0,059;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;14.02.2026;PZA;101376,000;TO;1,956;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000621;ENVASE LIMPIEZA 500ml (P) 27,90g;14.02.2026;PZA;4224,000;TO;0,118;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;15.02.2026;PZA;84480,000;TO;1,630;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000621;ENVASE LIMPIEZA 500ml (P) 27,90g;15.02.2026;PZA;10560,000;TO;0,295;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000585;ENV PET TRANSP COSMETIC OVAL 200 ML (PH);15.02.2026;PZA;5760,000;TO;0,140;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000585;ENV PET TRANSP COSMETIC OVAL 200 ML (PH);16.02.2026;PZA;5760,000;TO;0,140;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;16.02.2026;PZA;25344,000;TO;0,489;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000621;ENVASE LIMPIEZA 500ml (P) 27,90g;18.02.2026;PZA;6336,000;TO;0,177;SOPLADO MANUAL;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;18.02.2026;PZA;16896,000;TO;0,326;AOKI;PLAN;20.02.2026 - 22:01:53
000000000070000666;ENVASE PET MAYONESA 200 ML;19.02.2026;PZA;50688,000;TO;0,978;AOKI;PLAN;20.02.2026 - 22:01:53
