Codigo_Mat;Orden;Origen;Denominacion Material;UMB;Cant.Plan;Cant.Real;Var.Consumo;(%)Var.Consumo;Tot.Cos.Plan;Tot.Cos.Real;Precio Std;Precio Var.;Var.Precio;Val.Var.Prec.;Val.Var.Con.;Tot.Variación;C.Planificada;C.Entregada
000000000040000068;000020000411;000000000011000388;ACEITE VASSA 7 ACT 13-03;KG;802,369;811,048;7,749;1;928376,89;659914,25;1.451,39680;1.020,65037;-430,75;-311.929,06;10041,85;-268466,24;742,000;742,000
000000000040000082;000020000412;000000000011000388;ACEITE VASSA 7 ACT 13-03;KG;808,737;816,385;6,650;1;911334,64;676355,18;1.490,27350;1.095,65919;-394,61;-280.134,35;8617,67;-234977,42;743,000;743,000
000000000040000428;000025000758;000000000011000389;PROPILPARABENO;KG;0,162;0,162;0,000;0;740,17;0,00;4568,94000;0,00000;-4568,94;-740,17;0,00;-740,17;540,000;540,000
000000000040000428;000025000759;000000000011000389;PROPILPARABENO;KG;0,108;0,108;0,000;0;493,45;0,00;4568,94000;0,00000;-4568,94;-493,45;0,00;-493,45;360,000;360,000
000000000040000512;000021000789;000000000011000390;EDTA;KG;0,460;0,450;-0,010;-2;1074,70;672,75;2336,31000;1495,00000;-841,31;-378,59;-23,36;-401,95;919,000;919,000
000000000040000546;000026003823;000000000011000390;EDTA;KG;2,500;2,500;0,000;0;5840,78;1727,26;2336,31000;690,90400;-1645,41;-4113,53;0,00;-4113,53;5000,000;5000,000
000000000040000520;000024000187;000000000011000390;EDTA;KG;1,245;1,250;0,005;0;2908,71;863,63;2336,31000;690,90400;-1645,41;-2056,76;11,68;-2045,08;2490,000;2490,000
000000000040000546;000026003824;000000000011000390;EDTA;KG;1,850;1,850;0,000;0;4322,17;1278,17;2336,31000;690,90270;-1645,41;-3044,01;0,00;-3044,01;3700,000;3700,000
000000000040000513;000021000790;000000000011000390;EDTA;KG;0,464;0,465;0,001;0;1084,05;695,17;2336,31000;1494,98925;-841,32;-391,21;2,34;-388,87;928,000;928,000
000000000040000426;000026003822;000000000011000390;EDTA;KG;2,400;2,400;0,000;0;5607,14;1658,17;2336,31000;690,90417;-1645,41;-3948,98;0,00;-3948,98;4800,000;4800,000
000000000040000143;000022001363;000000000011000390;EDTA;KG;0,446;0,450;0,004;1;1041,99;672,75;2336,31000;1495,00000;-841,31;-378,59;9,35;-369,24;891,000;891,000
000000000040000545;000026003806;000000000011000390;EDTA;KG;2,500;2,500;0,000;0;5840,78;3737,50;2336,31000;1495,00000;-841,31;-2103,28;0,00;-2103,28;5000,000;5000,000
000000000040000545;000026003807;000000000011000390;EDTA;KG;2,500;2,500;0,000;0;5840,78;3737,50;2336,31000;1495,00000;-841,31;-2103,28;0,00;-2103,28;5000,000;5000,000
000000000040000549;000026003805;000000000011000390;EDTA;KG;0,665;0,665;0,000;0;1553,65;994,17;2336,31000;1494,99248;-841,32;-559,48;0,00;-559,48;1330,000;1330,000
000000000040000545;000026003808;000000000011000390;EDTA;KG;2,640;2,640;0,000;0;6167,86;2809,00;2336,31000;1064,01515;-1272,29;-3358,85;0,00;-3358,85;5280,000;5280,000
000000000040000551;000026003815;000000000011000390;EDTA;KG;1,330;1,330;0,000;0;3107,29;918,90;2336,31000;690,90226;-1645,41;-2188,40;0,00;-2188,40;2660,000;2660,000
000000000040000512;000021000789;000000000011000391;GLICERINA USP;KG;18,380;18,400;0,020;0;33345,92;17251,55;1814,25000;937,58424;-876,67;-16130,73;36,29;-16094,44;919,000;919,000
000000000040000097;000023000903;000000000011000391;GLICERINA USP;KG;95,100;95,250;0,150;0;172535,18;89304,87;1814,25000;937,58394;-876,67;-83502,82;272,14;-83230,68;6340,000;6340,000
000000000040000551;000026003815;000000000011000391;GLICERINA USP;KG;13,300;13,300;0,000;0;24129,53;12469,87;1814,25000;937,58421;-876,67;-11659,71;0,00;-11659,71;2660,000;2660,000
000000000040000097;000023000907;000000000011000391;GLICERINA USP;KG;79,410;79,500;0,090;0;144069,59;74537,92;1814,25000;937,58390;-876,67;-69695,27;163,28;-69531,99;5294,000;5294,000
000000000040000549;000026003805;000000000011000391;GLICERINA USP;KG;6,650;6,650;0,000;0;12064,76;6234,93;1814,25000;937,58346;-876,67;-5829,86;0,00;-5829,86;1330,000;1330,000
000000000040000513;000021000790;000000000011000391;GLICERINA USP;KG;13,920;13,950;0,030;0;25254,36;13079,30;1814,25000;937,58423;-876,67;-12229,55;54,43;-12175,12;928,000;928,000
000000000040000097;000023000902;000000000011000391;GLICERINA USP;KG;95,880;96,000;0,120;0;173950,29;90008,06;1814,25000;937,58396;-876,67;-84160,32;217,71;-83942,61;6392,000;6392,000
000000000040000096;000023000910;000000000011000391;GLICERINA USP;KG;20,140;20,200;0,060;0;36539,00;18939,20;1814,25000;937,58416;-876,67;-17708,73;108,86;-17599,87;2014,000;2014,000
000000000040000428;000025000758;000000000011000393;GERMALL 115;KG;2,700;2,700;0,000;0;9497,03;0,02;3517,42000;0,00741;-3517,41;-9497,01;0,00;-9497,01;540,000;540,000
000000000040000428;000025000759;000000000011000393;GERMALL 115;KG;1,800;1,800;0,000;0;6331,36;0,02;3517,42000;0,01111;-3517,41;-6331,34;0,00;-6331,34;360,000;360,000
000000000040000521;000025000757;000000000011000395;OXIDO DE ZINC USP;KG;2,900;2,900;0,000;0;9663,64;9133,42;3332,29000;3149,45517;-182,83;-530,21;0,00;-530,21;145,000;145,000
000000000040000521;000025000756;000000000011000395;OXIDO DE ZINC USP;KG;7,200;7,200;0,000;0;23992,49;18815,01;3332,29000;2613,19583;-719,09;-5177,45;0,00;-5177,45;360,000;360,000
000000000040000428;000025000758;000000000011000395;OXIDO DE ZINC USP;KG;10,800;10,800;0,000;0;35988,73;34014,13;3332,29000;3149,45648;-182,83;-1974,56;0,00;-1974,56;540,000;540,000
000000000040000428;000025000759;000000000011000395;OXIDO DE ZINC USP;KG;7,200;7,200;0,000;0;23992,49;22676,09;3332,29000;3149,45694;-182,83;-1316,38;0,00;-1316,38;360,000;360,000
000000000040000082;000020000412;000000000011000398;ISOPROPIL MIRISTATO;KG;37,150;37,500;0,350;1;201510,14;153766,68;5424,23000;4100,44480;-1323,79;-49642,13;1898,48;-47743,65;743,000;743,000
000000000040000068;000020000411;000000000011000398;ISOPROPIL MIRISTATO;KG;14,840;15,000;0,160;1;80495,57;48642,77;5424,23000;3242,85133;-2181,38;-32720,70;867,88;-31852,82;742,000;742,000
000000000040000143;000022001363;000000000011000399;TRIETANOLAMINA 85 %;KG;2,673;2,700;0,027;1;5750,10;0,03;2151,18000;0,01111;-2151,17;-5808,16;58,08;-5750,08;891,000;891,000
000000000040000118;000026003818;000000000011000400;UNIQUAT QAC-80;KG;0,200;0,200;0,000;0;307,46;0,00;1537,30000;0,00000;-1537,30;-307,46;0,00;-307,46;100,000;100,000
000000000040000521;000025000756;000000000011000402;TALCO COSMETICO;KG;291,600;291,600;0,000;0;145753,34;108203,60;499,84000;371,06859;-128,77;-37549,33;0,00;-37549,33;360,000;360,000
000000000040000521;000025000757;000000000011000402;TALCO COSMETICO;KG;117,450;117,450;0,000;0;58706,21;43582,00;499,84000;371,06854;-128,77;-15124,04;0,00;-15124,04;145,000;145,000
000000000040000428;000025000759;000000000011000402;TALCO COSMETICO;KG;338,652;338,700;0,048;0;169271,82;125680,93;499,84000;371,06859;-128,77;-43614,40;23,99;-43590,41;360,000;360,000
000000000040000428;000025000758;000000000011000402;TALCO COSMETICO;KG;507,978;508,000;0,022;0;253907,72;188502,84;499,84000;371,06858;-128,77;-65415,16;11,00;-65404,16;540,000;540,000
000000000040000513;000021000790;000000000011000404;FRAGANCIA DE MANZANILLA 8562;KG;5,568;5,580;0,012;0;70093,60;35795,08;12588,65000;6414,88889;-6173,76;-34449,58;151,06;-34298,52;928,000;928,000
000000000040000426;000026003822;000000000011000405;EXTRACTO DE MANZANILLA (CREMOGEN);KG;24,000;24,000;0,000;0;208823,52;134276,34;8700,98000;5594,84750;-3106,13;-74547,12;0,00;-74547,12;4800,000;4800,000
000000000040000513;000021000790;000000000011000405;EXTRACTO DE MANZANILLA (CREMOGEN);KG;3,712;3,720;0,008;0;32298,04;20812,83;8700,98000;5594,84677;-3106,13;-11554,80;69,61;-11485,19;928,000;928,000
000000000040000549;000026003805;000000000011000405;EXTRACTO DE MANZANILLA (CREMOGEN);KG;2,660;2,660;0,000;0;23144,61;14882,29;8700,98000;5594,84586;-3106,13;-8262,31;0,00;-8262,31;1330,000;1330,000
000000000040000546;000026003823;000000000011000405;EXTRACTO DE MANZANILLA (CREMOGEN);KG;7,500;7,500;0,000;0;65257,35;41961,36;8700,98000;5594,84800;-3106,13;-23295,98;0,00;-23295,98;5000,000;5000,000
000000000040000546;000026003824;000000000011000405;EXTRACTO DE MANZANILLA (CREMOGEN);KG;5,550;5,550;0,000;0;48290,44;31051,40;8700,98000;5594,84685;-3106,13;-17239,02;0,00;-17239,02;3700,000;3700,000
000000000040000545;000026003808;000000000011000406;FRAGANCIA  CHICCO (BSV 3044/2);KG;10,560;10,540;-0,020;0;159406,05;143168,26;15095,27000;13583,32638;-1511,94;-15935,85;-301,91;-16237,76;5280,000;5280,000
000000000040000082;000020000412;000000000011000406;FRAGANCIA  CHICCO (BSV 3044/2);KG;1,858;1,875;0,017;1;28047,01;24908,41;15095,27000;13284,48533;-1810,78;-3395,21;256,62;-3138,59;743,000;743,000
000000000040000097;000023000902;000000000011000406;FRAGANCIA  CHICCO (BSV 3044/2);KG;127,840;128,000;0,160;0;1929779,32;1977611,83;15095,27000;15450,09242;354,82;45416,96;2415,24;47832,20;6392,000;6392,000
000000000040000097;000023000903;000000000011000406;FRAGANCIA  CHICCO (BSV 3044/2);KG;126,800;127,000;0,200;0;1914080,24;1941767,20;15095,27000;15289,50551;194,24;24668,48;3019,05;27687,53;6340,000;6340,000
000000000040000512;000021000789;000000000011000406;FRAGANCIA  CHICCO (BSV 3044/2);KG;3,676;3,680;0,004;0;55490,21;48886,91;15095,27000;13284,48641;-1810,78;-6663,67;60,38;-6603,29;919,000;919,000
