Clase Orden;Texto ClOrden;Orden;Centro;Codigo_Mat;Denominacion Material;Cantidad Orden;Cantidad Recibida;UM Orden;Cantidad 2;Recibido 2;UM 2;Fecha Inicio Extrema;Fecha Fin Extrema;Fecha Inic Real;Fecha fin real;Fecha Liberacion;Reproceso;Estatus;Sector;Maquina;Fecha-Hora
ZPA2;Orden de Fab. Envases Farmacéuticos ACT 13-03;000035000555;1200;70000059;ENVASE PET AMBAR FARMA 240 ML ACT 13-03;19.044,480;0,000;PZA;0,50;0,00;TO;13.03.2026;13.03.2026;13.03.2026;13.03.2026;13.03.2026;PLAN;Abiertos;AOKI;AOKI-15 SBIII-250LL-50S;13.03.2026 - 08:15:00
ZPA3;Orden de Fabricación Envases Alimentos ACT 13-03;000036000524;1200;70000070;ENVASE PET SALSA INGLESA 300 ML ACT 13-03;13.708,800;0,000;PZA;0,34;0,00;TO;13.03.2026;13.03.2026;13.03.2026;13.03.2026;13.03.2026;PLAN;Abiertos;AOKI;AOKI-15 SBIII-250LL-50S;13.03.2026 - 08:15:00
ZPA1;Orden de Fabr. Envases Higiene Personal;000034000630;1200;70000076;ENVASE PET TRANSP COSMETIC OVAL 100 ML;1,000;0,000;PZA;0,000;0,000;TO;09.02.2026;10.02.2026;00.00.0000;00.00.0000;00.00.0000;PLAN;Cerrado técnicamente;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA6;Orden de Fabricación Envases plásticos;000039000355;1200;70000080;ENVASE PET TRANSP ESPECIAS 100 G;33600,000;33600,000;PZA;0,504;0,504;TO;03.02.2026;04.02.2026;06.02.2026;08.02.2026;03.02.2026;PLAN;Liberados;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA2;Orden de Fab. Envases Farmacéuticos;000035000556;1200;70000351;ENVASE PET BLANCO COSMETIC OVAL 200 (PH);28800,000;0,000;PZA;0,701;0,000;TO;09.02.2026;10.02.2026;10.02.2026;00.00.0000;09.02.2026;PLAN;Liberados;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA0;Orden de Fabricación Renovación;000043000826;1200;70000351;ENVASE PET BLANCO COSMETIC OVAL 200 (PH);9000,000;0,000;PZA;0,219;0,000;TO;12.02.2026;12.02.2026;00.00.0000;00.00.0000;12.02.2026;REPROCESO;Liberados;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA0;Orden de Fabricación Renovación;000043000827;1200;70000351;ENVASE PET BLANCO COSMETIC OVAL 200 (PH);4680,000;4680,000;PZA;0,114;0,114;TO;13.02.2026;13.02.2026;13.02.2026;00.00.0000;12.02.2026;REPROCESO;Liberados;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA1;Orden de Fabr. Envases Higiene Personal;000034000631;1200;70000421;ENV PET TRANSP COSMETIC OVAL 100 ML (PH);1,000;0,000;PZA;0,000;0,000;TO;09.02.2026;10.02.2026;00.00.0000;00.00.0000;00.00.0000;PLAN;Cerrado técnicamente;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA0;Orden de Fabricación Renovación;000043000822;1200;70000424;TAPA PUSH&PULL AMARILLO (PH);18000,000;18000,000;PZA;0,083;0,083;TO;03.02.2026;03.02.2026;05.02.2026;00.00.0000;03.02.2026;REPROCESO;Liberados;TAPAS PROYECTOS PET;INYECTORA-01 SE-330;20.02.2026 - 22:02:00
ZPA6;Orden de Fabricación Envases plásticos;000039000353;1200;70000470;CILINDRICO PCO 28mm 400ml (23,00)Gr;14210,000;14210,000;PZA;0,327;0,327;TO;11.02.2026;13.02.2026;05.02.2026;12.02.2026;05.02.2026;PLAN;Liberados;SOPLADO MANUAL;OGSIII 35 SOPLADO MANUAL;20.02.2026 - 22:02:00
