Codigo_Mat;Orden;Origen;Denominacion Material;UMB;Cant.Plan;Cant.Real;Var.Consumo;(%)Var.Consumo;Tot.Cos.Plan;Tot.Cos.Real;Precio Std;Precio Var.;Var.Precio;Val.Var.Prec.;Val.Var.Con.;Tot.Variación;C.Planificada;C.Entregada
000000000070000489;000039000354;000000000011001684;BOLSAS PLASTICAS 50+12+12X100 ACT 26041;PZA;2.194,412;515,372;-1440,000;-77;226555,16;37310,11;140,36308;98,42440;-41,94;-18.537,93;-173347,20;-189245,94;180655,000;40768,000
000000000070000424;000043000822;000000000011001685;BOLSAS PLAST. 62,5X120X0,18 INY.LIV ACT 26041;PZA;11,036;0,000;-9,000;-100;0,00;0,00;0,00000;0,00000;0,00;0,00;0,00;0,00;18000,000;18000,000
000000000070000424;000043000822;000000000011001686;BOLSAS PLASTICAS 50+10+10X90;PZA;0,000;18,000;18,000;0;0,00;540,00;50,00000;30,00000;-20,00;-360,00;900,00;540,00;18000,000;18000,000
000000000070000585;000034000632;000000000011001686;BOLSAS PLASTICAS 50+10+10X90;PZA;72,000;120,000;48,000;67;3600,00;5287,68;50,00000;44,06400;-5,94;-712,80;2400,00;1687,20;17280,000;17280,000
000000000070000470;000039000353;000000000011001686;BOLSAS PLASTICAS 50+10+10X90;PZA;145,000;145,000;0,000;0;7250,00;4648,86;50,00000;32,06110;-17,94;-2601,30;0,00;-2601,30;14210,000;14210,000
000000000070000666;000036000523;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;53,000;39,000;-14,000;-26;405,45;91,34;7,65000;2,34205;-5,31;-207,09;-107,10;-314,19;447744,000;329472,000
000000000070000666;000036000522;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;52,000;35,000;-17,000;-33;397,80;91,76;7,65000;2,62171;-5,03;-176,05;-130,05;-306,10;439296,000;295680,000
000000000070000666;000036000520;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;60,000;34,000;-26,000;-43;459,00;84,30;7,65000;2,47941;-5,17;-175,78;-198,90;-374,68;506880,000;287232,000
000000000070000666;000036000519;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;62,000;50,000;-12,000;-19;474,30;125,03;7,65000;2,50060;-5,15;-257,50;-91,80;-349,30;523776,000;422400,000
000000000070000621;000039000357;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;24,000;17,000;-7,000;-29;183,60;23,97;7,65000;1,41000;-6,24;-106,08;-53,55;-159,63;50688,000;35904,000
000000000070000585;000034000632;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;72,000;72,000;0,000;0;550,80;101,43;7,65000;1,40875;-6,24;-449,28;0,00;-449,28;17280,000;17280,000
000000000070000470;000039000353;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;145,000;145,000;0,000;0;1109,25;501,15;7,65000;3,45621;-4,19;-607,55;0,00;-607,55;14210,000;14210,000
000000000070000489;000039000354;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;1882,000;444,000;-1438,000;-76;14397,30;1710,05;7,65000;3,85146;-3,80;-1687,20;-11000,70;-12687,90;180655,000;40768,000
000000000070000808;000039000356;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;1475,000;420,000;-1055,000;-72;11283,75;1439,88;7,65000;3,42829;-4,22;-1772,40;-8070,75;-9843,15;185850,000;52920,000
000000000070000424;000043000822;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;9,000;9,000;0,000;0;68,85;12,68;7,65000;1,40889;-6,24;-56,16;0,00;-56,16;18000,000;18000,000
000000000070000080;000039000355;000000000011001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;PZA;240,000;240,000;0,000;0;1836,00;338,10;7,65000;1,40875;-6,24;-1497,60;0,00;-1497,60;33600,000;33600,000
000000000070000666;000036000519;000000000011001703;FLEJES PAT-T-1290-D BLANCO;M;1468,160;1184,000;-284,160;-19;7,65;17787,20;5,21100;15,02297;9,81;11615,04;-1,48;11613,56;523776,000;422400,000
000000000070000621;000039000357;000000000011001703;FLEJES PAT-T-1290-D BLANCO;M;279,360;186,240;-93,120;-33;1,46;2797,92;5,21100;15,02320;9,81;1827,01;-0,49;1826,52;50688,000;35904,000
000000000070000666;000036000523;000000000011001703;FLEJES PAT-T-1290-D BLANCO;M;1255,040;923,520;-331,520;-26;6,54;13874,08;5,21100;15,02304;9,81;9059,73;-1,73;9058,00;447744,000;329472,000
000000000070000666;000036000520;000000000011001703;FLEJES PAT-T-1290-D BLANCO;M;1420,800;805,120;-615,680;-43;7,40;12095,35;5,21100;15,02304;9,81;7898,23;-3,21;7895,02;506880,000;287232,000
000000000070000666;000036000522;000000000011001703;FLEJES PAT-T-1290-D BLANCO;M;1231,360;828,800;-402,560;-33;6,42;12451,05;5,21100;15,02299;9,81;8130,53;-2,10;8128,43;439296,000;295680,000
000000000070000666;000036000523;000000000011001704;GRAPAS GR-12-A-1000;PZA;212,000;156,000;-56,000;-26;0,92;602,71;4,34250;3,86353;-0,48;-74,88;-0,24;-75,12;447744,000;329472,000
000000000070000666;000036000522;000000000011001704;GRAPAS GR-12-A-1000;PZA;208,000;140,000;-68,000;-33;0,90;540,94;4,34250;3,86386;-0,48;-67,20;-0,30;-67,50;439296,000;295680,000
000000000070000666;000036000520;000000000011001704;GRAPAS GR-12-A-1000;PZA;240,000;136,000;-104,000;-43;1,04;525,44;4,34250;3,86353;-0,48;-65,28;-0,45;-65,73;506880,000;287232,000
000000000070000621;000039000357;000000000011001704;GRAPAS GR-12-A-1000;PZA;48,000;34,000;-14,000;-29;0,21;131,41;4,34250;3,86500;-0,48;-16,32;-0,06;-16,38;50688,000;35904,000
000000000070000666;000036000519;000000000011001704;GRAPAS GR-12-A-1000;PZA;248,000;200,000;-48,000;-19;1,08;772,76;4,34250;3,86380;-0,48;-96,00;-0,21;-96,21;523776,000;422400,000
000000000070000424;000043000822;000000000011001724;PELICULA POLIESTRECH MANUAL 4KG;KG;0,207;0,207;0,000;0;224,77;328,39;1085,86000;1586,42512;500,57;103,62;0,00;103,62;18000,000;18000,000
