Codigo_Mat;Orden;Origen;Denominacion Material;UMB;Cant.Plan;Cant.Real;Var.Consumo;(%)Var.Consumo;Tot.Cos.Plan;Tot.Cos.Real;Precio Std;Precio Var.;Var.Precio;Val.Var.Prec.;Val.Var.Con.;Tot.Variación;C.Planificada;C.Entregada
000000000070000776;000046000703;000000000011001703;FLEJES PAT-T-1290-D BLANCO ACT 26041;M;50.570,100;29.052,450;-16632,000;-43;742,67;454335,67;24,58125;26,17549;1,59;35.734,51;-316,01;27304,87;1758960,000;1010520,000
000000000070000776;000046000703;000000000011001704;GRAPAS GR-12-A-1000 ACT 26041;PZA;6.614,248;3.799,876;-2376,000;-43;82,31;45906,48;17,45977;16,95019;-0,51;-1.633,94;-35,02;-1414,46;1758960,000;1010520,000
000000000040000565;000044001527;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;129,000;136,000;7,000;5;110666,52;76500,00;857,88000;562,50000;-295,38;-40171,68;6005,16;-34166,52;762744,000;762744,000
000000000070000197;000044001526;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;252,000;106,000;-146,000;-58;216185,76;95053,38;857,88000;896,73000;38,85;4118,10;-125250,48;-121132,38;1058400,000;445200,000
000000000040000565;000044001535;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;196,000;26,000;-170,000;-87;168144,48;23314,98;857,88000;896,73000;38,85;1010,10;-145839,60;-144829,50;1351256,000;136539,000
000000000070000843;000044001530;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;92,000;75,000;-17,000;-18;78924,96;64915,14;857,88000;865,53520;7,66;574,50;-14583,96;-14009,46;1250000,000;1020000,000
000000000070000321;000044001525;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;427,000;425,000;-2,000;0;366314,76;253768,62;857,88000;597,10264;-260,78;-110831,50;-1715,76;-112547,26;1792601,000;1792601,000
000000000070000255;000044001537;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;52,000;48,000;-4,000;-8;44609,76;43043,04;857,88000;896,73000;38,85;1864,80;-3431,52;-1566,72;445536,000;445536,000
000000000070000321;000044001534;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;277,000;126,000;-151,000;-55;237632,76;112987,98;857,88000;896,73000;38,85;4895,10;-129539,88;-124644,78;1159399,000;610144,000
000000000070000780;000044001538;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;118,000;12,000;-106,000;-90;101229,84;10760,76;857,88000;896,73000;38,85;466,20;-90935,28;-90469,08;1011024,000;102816,000
000000000070000762;000044001531;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;194,000;194,000;0,000;0;166428,72;173965,62;857,88000;896,73000;38,85;7536,90;0,00;7536,90;1522512,000;1522512,000
000000000070000837;000044001532;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;77,000;77,000;0,000;0;66056,76;69048,21;857,88000;896,73000;38,85;2991,45;0,00;2991,45;1221316,000;1221316,000
000000000070000252;000044001536;000000000011001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;PZA;22,000;3,000;-19,000;-86;18873,36;2690,19;857,88000;896,73000;38,85;116,55;-16299,72;-16183,17;235246,000;29163,000
000000000070000402;000045000588;000000000011001860;BOLSAS DE POLIETILENO  112*86  50 MICRAS;PZA;528,000;24,000;-504,000;-95;23760,00;897,61;45,00000;37,40042;-7,60;-182,40;-22680,00;-22862,40;1848000,000;84000,000
000000000070000403;000045000587;000000000011001860;BOLSAS DE POLIETILENO  112*86  50 MICRAS;PZA;720,000;439,000;-281,000;-39;32400,00;16418,78;45,00000;37,40041;-7,60;-3336,40;-12645,00;-15981,40;2520000,000;1564500,000
000000000070000402;000045000588;000000000011001881;ETIQUETAS IDENTIF  P/TAPAS  10.7X4.2 CM;PZA;531,000;24,000;-507,000;-95;1003,59;38,45;1,89000;1,60208;-0,29;-6,96;-958,23;-965,19;1848000,000;84000,000
000000000070000403;000047000465;000000000011001881;ETIQUETAS IDENTIF  P/TAPAS  10.7X4.2 CM;PZA;80,000;80,000;0,000;0;151,20;128,18;1,89000;1,60225;-0,29;-23,20;0,00;-23,20;276500,000;276500,000
000000000070000403;000045000587;000000000011001881;ETIQUETAS IDENTIF  P/TAPAS  10.7X4.2 CM;PZA;724,000;447,000;-277,000;-38;1368,36;716,16;1,89000;1,60215;-0,29;-129,63;-523,53;-653,16;2520000,000;1564500,000
000000000070000252;000044001536;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;22,000;3,000;-19,000;-86;702,68;92,37;31,94000;30,79000;-1,15;-3,45;-606,86;-610,31;235246,000;29163,000
000000000070000837;000044001532;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;77,000;77,000;0,000;0;2459,38;2370,75;31,94000;30,78896;-1,15;-88,55;0,00;-88,55;1221316,000;1221316,000
000000000070000255;000044001537;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;26,000;32,000;6,000;23;830,44;985,25;31,94000;30,78906;-1,15;-36,80;191,64;154,84;445536,000;445536,000
000000000070000762;000044001531;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;194,000;194,000;0,000;0;6196,36;5973,10;31,94000;30,78918;-1,15;-223,10;0,00;-223,10;1522512,000;1522512,000
000000000070000402;000045000588;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;22,000;1,000;-21,000;-95;702,68;30,79;31,94000;30,79000;-1,15;-1,15;-670,74;-671,89;1848000,000;84000,000
000000000070000321;000044001534;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;139,000;110,000;-29,000;-21;4439,66;3386,78;31,94000;30,78891;-1,15;-126,50;-926,26;-1052,76;1159399,000;610144,000
000000000040000565;000044001535;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;196,000;26,000;-170,000;-87;6260,24;800,52;31,94000;30,78923;-1,15;-29,90;-5429,80;-5459,70;1351256,000;136539,000
000000000070000197;000044001526;000000000011001882;ETIQUETAS IDENTIF 15*20 CM GRANDES;PZA;126,000;53,000;-73,000;-58;4024,44;1631,81;31,94000;30,78887;-1,15;-60,95;-2331,62;-2392,57;1058400,000;445200,000
