Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50000010;CHICCO MOTAS DE ALGODON 100P.. ACT 26041;1000;3000;CS;85,28;27.613,55;0,000;0,00;0,888;445,36;13.03.2026 - 08:15:00;ZTEC;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000010;CHICCO MOTAS DE ALGODON 100P.. ACT 26041;1001;3000;CS;429,70;168.241,90;0,000;0,00;0,000;0,00;13.03.2026 - 08:15:00;ZTEC;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000017;LADYFACE DISCOS DE ALGODON 80P;1001;3000;CS;321,00;271298,04;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Lady Face;PH-Cotton Round;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000048;CHICCO CHAMPU ORIGINAL 200 CC;1001;3000;CS;77,00;58205,76;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000063;CHICCO ACEITE CREMOSO 100CC;1001;3000;CS;153,00;104560,06;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000064;CHICCO LOCION 100CC;1001;3000;CS;435,00;331666,62;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000066;CHICCO CHAMPU ORIGINAL 100CCC;1001;3000;CS;59,00;53243,87;1,000;626,86;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000067;CHICCO CHAMPU MANZANILLA 100CC;1001;3000;CS;928,00;721849,28;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000106;AMY TALCO 200G;1000;3000;CS;112,00;139017,39;0,000;0,00;1,667;2376,35;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Talco;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000106;AMY TALCO 200G;1001;3000;CS;287,00;320570,53;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000373;FRIENDS PD REGULAR S/P (12X40);1001;3000;CS;2909,00;684397,62;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000532;AMY CHAMPU 200CC OVAL;1001;3000;CS;160,00;96015,36;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Amy;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000443;AMY HISOPOS (48x60UN)x1;1001;3000;CS;281,00;176125,85;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Amy;PH-Hisopos;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000554;FRIENDS PD MANZANILLA (12X40);1001;3000;CS;2362,00;686567,14;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
