Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector;TextAlm;TextCent
40000301;PREFORMAS TRANSPARENTE 39,31G (PCO) ACT 26041;1300;2003;PZA;69.899,20;0,000;0,000;13.03.2026 - 08:15:00;PREFORMAS;Long Finish;PP-Preforma;Preformas;2003-Semiterminados;1300-Proyectos PET
40000327;PREFORMAS TRANSPARENTE 43,9 G (PCO) ACT 26041;1300;2003;PZA;51.996,63;0,000;0,000;13.03.2026 - 08:15:00;PREFORMAS;;;Preformas;2003-Semiterminados;1300-Proyectos PET
40000565;PREFORMAS 52 GR POLAR AMBAR;1300;2000;PZA;6713,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000021;BOTELLAS GENERICA 500 ML (23);1300;3000;PAL;1,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Jugos;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000026;BOTELLAS LICOR 0,350 L (23);1300;3000;PAL;2,91;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Licores;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000115;PREFORMAS TRANSPARENTE 34,000 G (PCO);1300;3000;PZA;4584,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000138;PREFORMAS TRANSPARENTE 56,000 G;1300;3000;PZA;64284,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000193;PREFORMAS TRANSPARENTE 38,05 GR;1300;2000;PZA;9424,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000194;PREFORMAS TRANSPARENTE 11,86 GR;1300;3000;PZA;59163,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000196;PREFORMAS TRANSPARENTE 15,28 GR;1300;3000;PZA;52833,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000197;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);1300;3000;PZA;380568,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Short Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000252;PREFORMAS TRANSPARENTE 30,86GR (PCO1810);1300;2000;PZA;0,00;29163,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000255;PREFORMAS TRANSPARENTE 17,82GRS;1300;2000;PZA;100,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000255;PREFORMAS TRANSPARENTE 17,82GRS;1300;3000;PZA;445536,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000260;PREFORMAS TRANSPARENTE 39,31GRS;1300;2001;PZA;9158,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2001-Retenido;1300-Proyectos PET
70000260;PREFORMAS TRANSPARENTE 39,31GRS;1300;3000;PZA;116430,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000265;BOTELLAS TRANSPARENTE AGUA 1,500 (30,86);1300;3000;PAL;52,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Agua;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000266;BOTELLAS TRANSPARENTE AGUA 0,500 (17,82);1300;3000;PAL;75,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Agua;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000288;BOTELLAS GENERICA 1 L (PCO) (27,9) 1904;1300;3000;PAL;44,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Aceite;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);1300;3000;PZA;687945,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000335;BOTELLAS LICOR 1,000 L (39) G;1300;3000;PAL;33,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Licores;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000401;TAPA PCO 1810 Blanca 28MM 3,10 G (3500);1300;3000;CS;51,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000402;TAPA PCO 28MM 1810 DORADA 3,1 G (3.500);1300;2000;CS;0,00;24,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;2000-Producción;1300-Proyectos PET
70000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);1300;2000;CS;0,00;4,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;2000-Producción;1300-Proyectos PET
70000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);1300;3000;CS;1344,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000413;TAPA PCO 28MM 1810 ROSADA  3,10G (3500);1300;3000;CS;48,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000446;BOTELLAS GENERICA 850 ML   (23Gr) 2.176;1300;3000;PAL;1,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Jugos;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000461;BOTELLAS GENERICA 500 ML (48 PZAS)Ecomm;1300;3009;PZA;192,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Jugos;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000462;BOTELLAS GENERICA 1 L  (48 PZAS) Ecomm;1300;3009;PZA;1632,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Jugos;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000479;ENV.PET TRANSP COSMETIC OVAL 200 ML(Ecom;1300;3009;PZA;3120,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Oval;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000481;ENV.PET BCO COSMETIC 200ML SENSITIVE(Eco;1300;3009;PZA;2688,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Sensitive;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000482;FARMACEUTICO AMBAR 60CC (ECOMM);1300;3009;PZA;1404,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Farma S/Impresión;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000483;TAPA PUSH&PULL BLANCA (Ecomm);1300;3009;PZA;100,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas Push & Pull;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000485;TAPA PUSH&PULL AZUL (Ecomm);1300;3009;PZA;1650,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas Push & Pull;AM-Tapas Ampofrasca;Tapas PT;3009-E-Commerce;1300-Proyectos PET
70000486;ENV.PET BCO COSMETIC OVAL 200 ML(Ecomm);1300;3009;PZA;600,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Cosmetica Oval;AM-Cosmética;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000488;ENVASE PET SALSA INGLESA 300 ML(Ecomm);1300;3009;PZA;576,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Salsas;AM-Salsas;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000497;FARMACEUTICO AMBAR 240cc (Ecomm);1300;3009;PZA;1680,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000498;ENVASE PET AMBAR FARMA 180 ML (Ecomm);1300;3009;PZA;88,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000499;ESPECIAS 200 Gr. (Ecomm);1300;3009;PZA;1755,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Especias;AM-Especias;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
