Entrega;Solicitante;Nombre del solicitante;Destinatario mcía.;Codigo_Mat;Denominación;Cantidad entrega;Un.medida venta;FechaE;FechaR;ClaseE;Zona;Vendedor;Pedido;PosPed;Monto;Moneda;Cod.Vend;Categoría;Marca;Grupo;Sector;MesEntr;Cod G.V.;Grupo Vend
2000087659;10003382;COMERCIAL SANTA BELLA C.A ACT 26041;10003382;50001021;SECUREZZA POST PARTO (12X15UN) ACT 26041;1,193;PAK;13.03.2026;13.03.2026 - 08:15:00;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;2026041220;10;43,65;USD;100112;INCONTINENCIA;Securezza;PH-Toalla Post-Parto;Absorbentes;02;101;GV Ger. Reg. Oriente
2000087659;10003382;COMERCIAL SANTA BELLA C.A ACT 26041;10003382;50001111;FRIENDS TS NOCTURNA SIN ALAS (12x10UN) ACT 26041;1,254;PAK;13.03.2026;13.03.2026 - 08:15:00;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;2026041220;20;39,11;USD;100112;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes;02;101;GV Ger. Reg. Oriente
2000087660;10002788;KEI MARKET, C.A;10002788;50000970;CHICCO BS COLONIA (10x220ML);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065628;10;         54,70;USD;100112;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;02;101;GV Ger. Reg. Oriente
2000087660;10002788;KEI MARKET, C.A;10002788;50001011;CHICCO BS COLONIA (28x100ML);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065628;20;         84,00;USD;100112;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;02;101;GV Ger. Reg. Oriente
2000087660;10002788;KEI MARKET, C.A;10002788;50000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);              1,000;PAK;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065628;30;         47,28;USD;100112;INCONTINENCIA;Siempre Seco;PH-Protector de Cama;Absorbentes;02;101;GV Ger. Reg. Oriente
2000087660;10002788;KEI MARKET, C.A;10002788;50000975;CHICCO BS TH ORIGINAL (20x48UN);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065628;40;         39,60;USD;100112;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;02;101;GV Ger. Reg. Oriente
2000087661;10002788;KEI MARKET, C.A;10002788;50000902;AMY COLONIA PARA BEBES (10x220ML);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065629;10;         43,10;USD;100112;HIGIENE PERSONAL;Amy;PH-Colonia;Cuidado Personal;02;101;GV Ger. Reg. Oriente
2000087661;10002788;KEI MARKET, C.A;10002788;50000532;AMY CHAMPU PARA BEBES (10x200ML);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065629;20;         31,70;USD;100112;HIGIENE PERSONAL;Amy;PH-Champú;Cuidado Personal;02;101;GV Ger. Reg. Oriente
2000087661;10002788;KEI MARKET, C.A;10002788;50001072;AMY SEC TH 99% AGUA (20x48UN);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065629;30;         25,80;USD;100112;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal;02;101;GV Ger. Reg. Oriente
2000087661;10002788;KEI MARKET, C.A;10002788;50001079;AMY SEC TH 99% AGUA (48x24UN);              1,000;CS;05.02.2026;20.02.2026 - 22:04:03;Ent. Nac. Pharsana;Zona Oriente;ERIS R PEÑA;1002065629;40;         40,80;USD;100112;TOALLAS HUMEDAS;Amy;PH-TH Travel Pack;Cuidado Personal;02;101;GV Ger. Reg. Oriente
