Codigo_Mat;Denominacion Material;Fecha;UM;Cant_Notif;Libre Ut.;Exist.Otr.;Sector;Reproceso;Fecha-Hora;Categoría;Marca;Grupo
000000000050000106;AMY TALCO PARA BEBES (24x200G) ACT 26041;13.03.2026;CS;223,029;;0,000;Cuidado Personal;PLAN;13.03.2026 - 08:15:00;HIGIENE PERSONAL;Amy;PH-Talco
000000000050001045;CHICCO BS TALCO (24x100G) ACT 26041;13.03.2026;CS;227,611;;0,000;Cuidado Personal;PLAN;13.03.2026 - 08:15:00;HIGIENE PERSONAL;Chicco;PH-Talco
000000000050000899;AMY ACEITE PARA BEBES (10x220ML);03.02.2026;CS;392,800;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Amy;PH-Aceite
000000000050000517;AMY MOTAS DE ALGODON (12x50UN);03.02.2026;CS;353,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;ALGODONES PT;Amy;PH-Motas De Algodón
000000000050000443;AMY HISOPOS (48x60UN);03.02.2026;CS;181,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;ALGODONES PT;Amy;PH-Hisopos
000000000050001048;SECUREZZA CLASSIC L (4X20UN) PROMOPACK;03.02.2026;PAK;152,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050000569;ACTIVA SEC PERDIDAS ABUNDANTES (12X10UN);03.02.2026;PAK;204,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Activa;PH-Toalla Incontinen
000000000050001047;SECUREZZA CLASSIC M (4X20UN) PROMOPACK;03.02.2026;PAK;927,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050001106;FRIENDS PD REGULAR S/P (12X40UN);03.02.2026;PAK;636,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;ABSORBENTES FEMENINA;Friends;PH-Protector Diario
000000000050001111;FRIENDS TS NOCTURNA SIN ALAS (12x10UN);03.02.2026;PAK;1206,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria
000000000050000971;CHICCO BS ACEITE (10x220ML);03.02.2026;CS;396,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Aceite
000000000050001011;CHICCO BS COLONIA (28x100ML);03.02.2026;CS;512,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Colonia
000000000050000632;SECUREZZA POST PARTO PREMIUM (12X10UN);03.02.2026;PAK;54,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050001011;CHICCO BS COLONIA (28x100ML);04.02.2026;CS;428,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Colonia
000000000050001106;FRIENDS PD REGULAR S/P (12X40UN);04.02.2026;PAK;63,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;ABSORBENTES FEMENINA;Friends;PH-Protector Diario
000000000050000632;SECUREZZA POST PARTO PREMIUM (12X10UN);04.02.2026;PAK;743,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050000921;SECUREZZA COMFORT M REG (6x6UN);04.02.2026;PAK;469,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050000921;SECUREZZA COMFORT M REG (6x6UN);05.02.2026;PAK;1053,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050001011;CHICCO BS COLONIA (28x100ML);05.02.2026;CS;197,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Colonia
000000000050000443;AMY HISOPOS (48x60UN);05.02.2026;CS;169,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;ALGODONES PT;Amy;PH-Hisopos
000000000052000047;INTYLACT TH INTIMA MANZANILLA (32x20UN);05.02.2026;CS;197,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack
000000000050000632;SECUREZZA POST PARTO PREMIUM (12X10UN);05.02.2026;PAK;765,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050001019;CHICCO BS GEL ANTIBACTERIAL (28x100ML);05.02.2026;CS;61,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial
000000000050000975;CHICCO BS TH ORIGINAL (20x48UN);06.02.2026;CS;661,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack
000000000052000047;INTYLACT TH INTIMA MANZANILLA (32x20UN);06.02.2026;CS;415,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack
000000000050000443;AMY HISOPOS (48x60UN);06.02.2026;CS;171,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;ALGODONES PT;Amy;PH-Hisopos
000000000050001019;CHICCO BS GEL ANTIBACTERIAL (28x100ML);06.02.2026;CS;243,929;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial
000000000050000921;SECUREZZA COMFORT M REG (6x6UN);06.02.2026;PAK;285,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050000632;SECUREZZA POST PARTO PREMIUM (12X10UN);06.02.2026;PAK;858,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050000922;SECUREZZA COMFORT L REG (6x6UN);06.02.2026;PAK;258,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050000922;SECUREZZA COMFORT L REG (6x6UN);09.02.2026;PAK;952,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050000632;SECUREZZA POST PARTO PREMIUM (12X10UN);09.02.2026;PAK;834,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);09.02.2026;PAK;180,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Siempre Seco;PH-Protector de Cama
000000000050000975;CHICCO BS TH ORIGINAL (20x48UN);09.02.2026;CS;735,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack
000000000050001011;CHICCO BS COLONIA (28x100ML);09.02.2026;CS;218,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Colonia
000000000050000632;SECUREZZA POST PARTO PREMIUM (12X10UN);10.02.2026;PAK;0,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050000963;CHICCO BS CHAMPU CABELLONORMAL(10x200ML);10.02.2026;CS;447,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Champú
000000000050001011;CHICCO BS COLONIA (28x100ML);10.02.2026;CS;246,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Colonia
000000000050000975;CHICCO BS TH ORIGINAL (20x48UN);10.02.2026;CS;900,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack
000000000050000922;SECUREZZA COMFORT L REG (6x6UN);10.02.2026;PAK;390,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000050001021;SECUREZZA POST PARTO (12X15UN);10.02.2026;PAK;299,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000050000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);10.02.2026;PAK;266,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Siempre Seco;PH-Protector de Cama
000000000051000126;SECUREZZA COMFORT L REG (6x6UN) EXP;10.02.2026;PAK;120,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Protector Incont.
000000000052000048;INTYLACT TH INTIMA ARANDANO (32x20UN);10.02.2026;CS;120,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack
000000000052000070;BOROCANFOR ORIGINAL POLVO 120 G (VITA);10.02.2026;CS;48,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Marca Privada;PH-Talco
000000000050001011;CHICCO BS COLONIA (28x100ML);11.02.2026;CS;220,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Chicco;PH-Colonia
000000000052000070;BOROCANFOR ORIGINAL POLVO 120 G (VITA);11.02.2026;CS;168,292;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Marca Privada;PH-Talco
000000000050000975;CHICCO BS TH ORIGINAL (20x48UN);11.02.2026;CS;711,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack
000000000052000048;INTYLACT TH INTIMA ARANDANO (32x20UN);11.02.2026;CS;450,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack
000000000050000639;SIEMPRE SECO BASICO M (6X6UN);11.02.2026;PAK;1067,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Siempre Seco;PH-Protector Incont.
000000000050000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);11.02.2026;PAK;269,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Siempre Seco;PH-Protector de Cama
000000000050001021;SECUREZZA POST PARTO (12X15UN);11.02.2026;PAK;550,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
000000000052000070;BOROCANFOR ORIGINAL POLVO 120 G (VITA);12.02.2026;CS;132,500;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;HIGIENE PERSONAL;Marca Privada;PH-Talco
000000000050000975;CHICCO BS TH ORIGINAL (20x48UN);12.02.2026;CS;850,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack
000000000052000048;INTYLACT TH INTIMA ARANDANO (32x20UN);12.02.2026;CS;528,000;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack
000000000052000047;INTYLACT TH INTIMA MANZANILLA (32x20UN);12.02.2026;CS;41,688;;0,000;Cuidado Personal;PLAN;20.02.2026 - 22:01:58;TOALLAS HUMEDAS;Marca Privada;PH-TH Travel Pack
000000000050000639;SIEMPRE SECO BASICO M (6X6UN);12.02.2026;PAK;1062,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Siempre Seco;PH-Protector Incont.
000000000050000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);12.02.2026;PAK;363,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Siempre Seco;PH-Protector de Cama
000000000050001021;SECUREZZA POST PARTO (12X15UN);12.02.2026;PAK;574,000;;0,000;Absorbentes;PLAN;20.02.2026 - 22:01:58;INCONTINENCIA;Securezza;PH-Toalla Post-Parto
