Codigo_Mat;Denominacion Material;Fecha;UM;Cant_Notif;UM2;Cant_Notif2;Sector;Reproceso;Fecha-Hora
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810) ACT 26041;13.03.2026;PZA;179.096,400;TO;7,863;INY. PREFORMA;PLAN;13.03.2026 - 08:15:00
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr ACT 26041;13.03.2026;PZA;92.590,470;TO;4,815;SOPLADO;PLAN;13.03.2026 - 08:15:00
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;01.02.2026;PZA;151710,000;TO;7,890;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);02.02.2026;PZA;285600,000;TO;12,538;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;02.02.2026;PZA;11340,000;TO;0,590;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;02.02.2026;PZA;150973,000;TO;7,851;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);03.02.2026;PZA;495600,000;TO;21,758;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;03.02.2026;PZA;151584,000;TO;7,883;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;03.02.2026;PZA;86940,000;TO;4,521;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);04.02.2026;PZA;280800,000;TO;12,328;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;04.02.2026;PZA;156767,000;TO;8,153;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;04.02.2026;PZA;292320,000;TO;15,201;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);04.02.2026;PZA;252000,000;TO;0,781;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;05.02.2026;PZA;13600,000;TO;0,340;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);05.02.2026;PZA;252000,000;TO;0,780;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;05.02.2026;PZA;97020,000;TO;5,045;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);05.02.2026;PZA;130800,000;TO;5,743;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000040000565;PREFORMAS 52 GR POLAR AMBAR;05.02.2026;PZA;151710,000;TO;7,889;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);06.02.2026;PZA;218400,000;TO;9,588;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);06.02.2026;PZA;168000,000;TO;0,520;INYECCION TAPAS;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;06.02.2026;PZA;68000,000;TO;1,700;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;06.02.2026;PZA;36540,000;TO;1,900;SOPLADO;PLAN;20.02.2026 - 22:01:57
