Clase Orden;Texto ClOrden;Orden;Centro;Codigo_Mat;Denominacion Material;Cantidad Orden;Cantidad Recibida;UM Orden;Cantidad 2;Recibido 2;UM 2;Fecha Inicio Extrema;Fecha Fin Extrema;Fecha Inic Real;Fecha fin real;Fecha Liberacion;Reproceso;Estatus;Categoria;Maquina;Fecha-Hora
ZP16;Orden de Proceso para Soluciones ACT 26041;000026003809;1000;40000052;AGUA DESMINERALIZADA ACT 26041;7.245,000;7.245,000;KG;0,000;0,000;;13.03.2026;13.03.2026;13.03.2026;13.03.2026;13.03.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;13.03.2026 - 08:15:00
ZP16;Orden de Proceso para Soluciones ACT 26041;000026003810;1000;40000052;AGUA DESMINERALIZADA ACT 26041;6.643,500;6.643,500;KG;0,000;0,000;;13.03.2026;13.03.2026;13.03.2026;13.03.2026;13.03.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;13.03.2026 - 08:15:00
ZP16;Orden de Proceso para Soluciones;000026003811;1000;40000052;AGUA DESMINERALIZADA;6000,000;6000,000;KG;0,000;0,000;;03.02.2026;03.02.2026;09.02.2026;11.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003812;1000;40000052;AGUA DESMINERALIZADA;6000,000;6000,000;KG;0,000;0,000;;03.02.2026;03.02.2026;11.02.2026;11.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003813;1000;40000052;AGUA DESMINERALIZADA;6000,000;6000,000;KG;0,000;0,000;;03.02.2026;03.02.2026;11.02.2026;12.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003814;1000;40000052;AGUA DESMINERALIZADA;6000,000;6000,000;KG;0,00;0,00;;03.02.2026;03.02.2026;12.02.2026;18.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003830;1000;40000052;AGUA DESMINERALIZADA;6000,000;6000,000;KG;0,000;0,000;;18.02.2026;18.02.2026;19.02.2026;19.02.2026;18.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003831;1000;40000052;AGUA DESMINERALIZADA;6000,000;670,861;KG;0,000;0,000;;18.02.2026;18.02.2026;19.02.2026;00.00.0000;18.02.2026;PLAN;Liberados;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003832;1000;40000052;AGUA DESMINERALIZADA;6000,000;0,000;KG;0,00;0,00;;18.02.2026;18.02.2026;00.00.0000;00.00.0000;18.02.2026;PLAN;Liberados;Materia Prima;Tanque zona fria 8500 Kg.;20.02.2026 - 22:02:04
ZP10;Orden de Proceso para Aceites;000020000411;1000;40000068;MEZCLA ACEITE AMY;742,000;742,000;KG;742,000;742,000;KG;03.02.2026;03.02.2026;03.02.2026;03.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP10;Orden de Proceso para Aceites;000020000412;1000;40000082;MEZCLA DE ACEITE CHICCO;743,000;743,000;KG;743,000;743,000;KG;03.02.2026;03.02.2026;03.02.2026;03.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP10;Orden de Proceso para Aceites;000020000416;1000;40000082;MEZCLA DE ACEITE CHICCO;820,000;0,000;KG;820,000;0,000;KG;12.02.2026;12.02.2026;00.00.0000;00.00.0000;12.02.2026;PLAN;Liberados;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP13;Orden de Proceso para Colonias;000023000910;1000;40000096;MEZCLA DE COLONIA AMY;2014,000;2014,000;KG;0,000;0,000;;12.02.2026;13.02.2026;12.02.2026;12.02.2026;11.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP13;Orden de Proceso para Colonias;000023000902;1000;40000097;MEZCLA DE COLONIA CHICCO;6392,000;6392,000;KG;6392,000;6392,000;KG;06.02.2026;08.02.2026;06.02.2026;06.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque  zona fria 2000 Kg.;20.02.2026 - 22:02:04
ZP13;Orden de Proceso para Colonias;000023000903;1000;40000097;MEZCLA DE COLONIA CHICCO;6340,000;6340,000;KG;6284,21;5557,40;KG;11.02.2026;11.02.2026;11.02.2026;11.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque  zona fria 2000 Kg.;20.02.2026 - 22:02:04
ZP13;Orden de Proceso para Colonias;000023000907;1000;40000097;MEZCLA DE COLONIA CHICCO;5294,000;5294,000;KG;4661,80;5644,49;KG;11.02.2026;11.02.2026;11.02.2026;11.02.2026;09.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque  zona fria 2000 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003818;1000;40000118;MEZCLA DE SOLUCIÓN PARA HISOPOS;100,000;100,000;KG;0,000;0,000;;06.02.2026;06.02.2026;11.02.2026;11.02.2026;06.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona caliente 1000 Kg.;20.02.2026 - 22:02:04
ZP12;Orden de Proceso Cremas, Lociones y;000022001363;1000;40000143;MEZCLA GEL ANTIBACTERIAL CHICCO;891,000;891,000;KG;891,000;891,000;KG;05.02.2026;08.02.2026;05.02.2026;05.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona caliente 1000 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003819;1000;40000175;SOLUCIÓN DE ALCOHOL AL 70% (PLANTA);200,000;200,000;KG;0,000;0,000;;09.02.2026;09.02.2026;11.02.2026;11.02.2026;09.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona caliente 600 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003820;1000;40000282;SOLUCION GERDEX P/NEBULIZAR AL 2%;33,000;33,000;KG;0,000;0,000;;10.02.2026;10.02.2026;11.02.2026;11.02.2026;09.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona caliente 600 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003821;1000;40000322;SOLUCIÓN TEGO 51 AL 2% (AMBIENTE);200,000;200,000;KG;0,000;0,000;;09.02.2026;09.02.2026;11.02.2026;11.02.2026;09.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona caliente 600 Kg.;20.02.2026 - 22:02:04
ZP13;Orden de Proceso para Colonias;000023000905;1000;40000425;MEZCLA DE COLONIA AMY R2020;2170,000;0,000;KG;2170,000;0,000;KG;09.02.2026;09.02.2026;00.00.0000;00.00.0000;03.02.2026;PLAN;Liberados;Materia Prima;Tanque  zona fria 2000 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003822;1000;40000426;SOLUCION TOALLAS AMY MANZANILLA R2020;4800,000;4800,000;KG;0,000;0,000;;09.02.2026;09.02.2026;12.02.2026;12.02.2026;09.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP15;Orden de Proceso para Polvos;000025000758;1000;40000428;MEZCLA DE TALCO AMY R2020;540,000;540,000;KG;540,000;540,000;KG;02.02.2026;02.02.2026;03.02.2026;03.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Línea Llenado Talco H;20.02.2026 - 22:02:04
ZP15;Orden de Proceso para Polvos;000025000759;1000;40000428;MEZCLA DE TALCO AMY R2020;360,000;360,000;KG;360,000;360,000;KG;02.02.2026;02.02.2026;03.02.2026;03.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Línea Llenado Talco H;20.02.2026 - 22:02:04
ZP14;Orden de Proceso para Jabones;000024000188;1000;40000486;MEZCLA PHARSANA INSTITUCIONAL JABON ANT;1520,000;0,000;KG;0,000;0,000;;12.02.2026;12.02.2026;00.00.0000;00.00.0000;12.02.2026;PLAN;Liberados;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP11;Orden de Proceso para Champúes;000021000789;1000;40000512;MEZCLA CHICCO CHAMPU ORIGINAL  LP;919,000;919,000;KG;0,000;0,000;;09.02.2026;12.02.2026;09.02.2026;11.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP11;Orden de Proceso para Champúes;000021000790;1000;40000513;MEZCLA CHICCO CHAMPU MANZANILLA LP;928,000;928,000;KG;0,00;0,00;;12.02.2026;13.02.2026;12.02.2026;13.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP14;Orden de Proceso para Jabones;000024000187;1000;40000520;MEZCLA CHICCO JABÓN LÍQUIDO LP;2490,000;2490,000;KG;0,000;0,000;;13.02.2026;18.02.2026;13.02.2026;18.02.2026;10.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP15;Orden de Proceso para Polvos;000025000756;1000;40000521;MEZCLA CHICCO TALCO CON ALMIDÓN LP;360,000;360,000;KG;0,000;0,000;;02.02.2026;02.02.2026;03.02.2026;03.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Línea Llenado Talco H;20.02.2026 - 22:02:04
ZP15;Orden de Proceso para Polvos;000025000757;1000;40000521;MEZCLA CHICCO TALCO CON ALMIDÓN LP;145,000;145,000;KG;0,000;0,000;;02.02.2026;02.02.2026;03.02.2026;03.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Línea Llenado Talco H;20.02.2026 - 22:02:04
ZP11;Orden de Proceso para Champúes;000021000791;1000;40000524;MEZCLA CHICCO CHAMPU ROMERO LP;950,000;0,000;KG;0,000;0,000;;03.02.2026;03.02.2026;00.00.0000;00.00.0000;03.02.2026;PLAN;Liberados;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZPP3;Orden de Fabricación-Cotoncitos;000013000504;1000;40000538;BASTONCITO PARA HISOPOS (NACIONAL PH)32;8712346,000;8712346,000;ST;0,000;0,000;;18.02.2026;18.02.2026;03.02.2026;19.02.2026;02.02.2026;PLAN;Cerrado técnicamente;Materia Prima;EXTRUSORA DE PALITOS;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003806;1000;40000545;SOLUCION P/TOALLAS HÚMEDAS CHICCO LP;5000,000;5000,000;KG;5000,000;5000,000;KG;03.02.2026;03.02.2026;05.02.2026;05.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003807;1000;40000545;SOLUCION P/TOALLAS HÚMEDAS CHICCO LP;5000,000;5000,000;KG;5000,000;5000,000;KG;03.02.2026;03.02.2026;09.02.2026;09.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
ZP16;Orden de Proceso para Soluciones;000026003808;1000;40000545;SOLUCION P/TOALLAS HÚMEDAS CHICCO LP;5280,000;5280,000;KG;5280,000;5280,000;KG;03.02.2026;03.02.2026;11.02.2026;11.02.2026;03.02.2026;PLAN;Cerrado técnicamente;Materia Prima;Tanque zona fria 5500 Kg.;20.02.2026 - 22:02:04
