Razón Social,Gpo de Cliente,ClaseDoc.,Num.Factura,Sector,Canal,Fecha.Doc,Zona.Vtas,Almacen,Denominacion Material,Cantidad UMV,UM.Vtas,Cantidad UMB,UM.Base,Prec.Unitario,Monto Neto,IVA,Importe Final,Doc.Comercial,Cond.Pago,Fec.Venc.,Moneda.Doc.,Status de Anulacion,Doc.Anulac,Grp.Vend,Vendedor,Referencia,Pedido.Vta,Jerarquía 1,Jerarquía 2,Jerarquía 3,UM.Peso,Peso.Fact,Peso.Total,Um.PesoGen,Ramo,Gr.Material,Gr.Articulo,Tipo.Cambio,Mes,Ejercicio,Prec.Unitario 2,Monto Neto 2,IVA 2,Importe Final 2,Conc.Busq,Codigo_Mat,Listas_precios,,Cod_cliente,,Ind_retcl,Ind_auto_retcl,fechahora,CodMot,Tx Motivo,CodVend,cod_gpo_cliente,cod_clase_doc,cod_sector,cod_canal,cod_zona_ventas,cod_doc_comercial,cod_grp_vend,cod_ramo,cod_gr_material,cod_gr_articulo,cod_lista_precio,cod_tx_motivo,cod_cliente_fk,codigo_mat_fk,cod_vendedor_fk,cod_condicion_pago_fk,cod_moneda_fk,dim_cliente_id,dim_producto_id,dim_vendedor_id,dim_condicion_pago_id,dim_moneda_id,dim_gpo_cliente_id,dim_clase_doc_id,dim_sector_id,dim_canal_id,dim_zona_ventas_id,dim_doc_comercial_id,dim_grp_vend_id,dim_ramo_id,dim_gr_material_id,dim_gr_articulo_id,dim_lista_precio_id,dim_tx_motivo_id,batch_id,line_hash,quality_flags
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Absorbentes,Venta Directa,20250514,Zona Andina,3000,SECUREZZA POST PARTO PREMIUM (12X10),5,PAK,60,PAQ,"2212,2",11061,"1769,76","12830,76",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Securezza,10,Anatómica,KG,10500,,10500,Mayorista,PH-Toalla Post-Parto,INCONTINENCIA,"93,5796",5,2025,"23,64","118,2","18,91","137,11",MEIS,50000632,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026,GPC_60106092A8,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_D2E2542E3C,DCO_4509257306,GRV_E3FC6829D6,RAM_4D6D0CD022,GRM_401CA6A5C7,GRA_55B30A1B7A,LPR_739AB0C671,TXM_UNKNOWN,10000007,50000632,100026,NT15,VED,8,1,1,3,2,21,1,1,1,9,1,13,37,1,1,10,1,demo_ids_20260218,7e78dd5f234a8a19f864b92263d94d38,
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Absorbentes,Venta Directa,20250514,Zona Andina,3000,SECUREZZA POST PARTO  (12X15),5,PAK,60,PAQ,"2683,92","13419,6","2147,14","15566,74",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Securezza,15,Anatómica,KG,10500,,10500,Mayorista,PH-Toalla Post-Parto,INCONTINENCIA,"93,5796",5,2025,"28,68","143,4","22,94","166,35",MEIS,50001021,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026,GPC_60106092A8,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_D2E2542E3C,DCO_4509257306,GRV_E3FC6829D6,RAM_4D6D0CD022,GRM_401CA6A5C7,GRA_55B30A1B7A,LPR_739AB0C671,TXM_UNKNOWN,10000007,50001021,100026,NT15,VED,8,2,1,3,2,21,1,1,1,9,1,13,37,1,1,10,1,demo_ids_20260218,ad9809e5e267967b3282dd27b08d84fc,
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Cuidado Personal,Venta Directa,20250514,Zona Andina,3000,CHICCO COLONIA 100ML,5,CS,140,ST,"6157,48","30787,4","4925,98","35713,38",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Chicco,100,Original,KG,"12,32",,"12,32",Mayorista,PH-Colonia,HIGIENE PERSONAL,"93,5796",5,2025,"65,8",329,"52,64","381,64",MEIS,50001011,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026,GPC_60106092A8,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_D2E2542E3C,DCO_4509257306,GRV_E3FC6829D6,RAM_4D6D0CD022,GRM_0C22511549,GRA_840BF734C1,LPR_739AB0C671,TXM_UNKNOWN,10000007,50001011,100026,NT15,VED,8,3,1,3,2,21,1,2,1,9,1,13,37,2,2,10,1,demo_ids_20260218,de9c580f708a6a6960dbf0f57d09cf7f,
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Cuidado Personal,Venta Directa,20250514,Zona Andina,3000,CHICCO COLONIA 220 ML,10,CS,100,ST,"4005,2",40052,"6408,32","46460,32",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Chicco,220,Original,KG,"19,8",,"19,8",Mayorista,PH-Colonia,HIGIENE PERSONAL,"93,5796",5,2025,"42,8",428,"68,48","496,48",MEIS,50000970,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026,GPC_60106092A8,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_D2E2542E3C,DCO_4509257306,GRV_E3FC6829D6,RAM_4D6D0CD022,GRM_0C22511549,GRA_840BF734C1,LPR_739AB0C671,TXM_UNKNOWN,10000007,50000970,100026,NT15,VED,8,4,1,3,2,21,1,2,1,9,1,13,37,2,2,10,1,demo_ids_20260218,e96c263c2b7d355110899b3c5ec87543,
"CASA TOKIO HIPERMERCADO 2, C.A",Detal,Fact. Nac. Pharsana,6000124266,Cuidado Personal,Venta Directa,20250522,Zona Metropolitana,3000,CHICCO COLONIA 100ML,1,CS,28,ST,"6700,68","6700,68","1072,11","7772,79",Factura,Crédito 15 Días,20250606,VED,NA,,GV Ger. Reg. Capital,TULIO R. PUENTES,00-0607450,1002056959,Chicco,100,Original,KG,"2,464",,"2,464",Perfumeria,PH-Colonia,HIGIENE PERSONAL,"94,9652",5,2025,"70,56","70,56","11,29","81,85",,50001011,Detal,,10000015,30,1,X,02.07.2025 - 08:40:06,,,100012,GPC_C2A171C424,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_58495719AA,RAM_9F7B67ADC0,GRM_0C22511549,GRA_840BF734C1,LPR_F3F5033F73,TXM_UNKNOWN,10000015,50001011,100012,NT15,VED,16,3,2,3,2,22,1,2,1,10,1,14,38,2,2,11,1,demo_ids_20260218,a520a72f42647446ba7cfdceda9cb392,
"CASA TOKIO HIPERMERCADO 2, C.A",Detal,Fact. Nac. Pharsana,6000124266,Cuidado Personal,Venta Directa,20250522,Zona Metropolitana,3000,CHICCO TH ORIGINAL 48P,1,CS,20,PAQ,"3152,8","3152,8","504,45","3657,25",Factura,Crédito 15 Días,20250606,VED,NA,,GV Ger. Reg. Capital,TULIO R. PUENTES,00-0607450,1002056959,Chicco,48,Original,KG,"5,18",,"5,18",Perfumeria,PH-TH Flow Pack,TOALLAS HUMEDAS,"94,9652",5,2025,"33,2","33,2","5,31","38,51",,50000975,Detal,,10000015,30,1,X,02.07.2025 - 08:40:06,,,100012,GPC_C2A171C424,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_58495719AA,RAM_9F7B67ADC0,GRM_ACA9A0FC3D,GRA_280AA09ADE,LPR_F3F5033F73,TXM_UNKNOWN,10000015,50000975,100012,NT15,VED,16,5,2,3,2,22,1,2,1,10,1,14,38,3,3,11,1,demo_ids_20260218,cf69bb592108c0dbb82d91f9e31d0257,
"CASA TOKIO HIPERMERCADO 2, C.A",Detal,Fact. Nac. Pharsana,6000124266,Absorbentes,Venta Directa,20250522,Zona Metropolitana,3000,SECUREZZA POST PARTO  (12X15),1,PAK,12,PAQ,"2917,32","2917,32","466,77","3384,09",Factura,Crédito 15 Días,20250606,VED,NA,,GV Ger. Reg. Capital,TULIO R. PUENTES,00-0607450,1002056959,Securezza,15,Anatómica,KG,2100,,2100,Perfumeria,PH-Toalla Post-Parto,INCONTINENCIA,"94,9652",5,2025,"30,72","30,72","4,92","35,64",,50001021,Detal,,10000015,30,1,X,02.07.2025 - 08:40:06,,,100012,GPC_C2A171C424,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_58495719AA,RAM_9F7B67ADC0,GRM_401CA6A5C7,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000015,50001021,100012,NT15,VED,16,2,2,3,2,22,1,1,1,10,1,14,38,1,1,11,1,demo_ids_20260218,adcb4c06acd08119e534194f09460d8c,
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,SECUREZZA CLASSIC M REG (6x6),13,PAK,78,PAQ,"3350,22","43552,86","6968,46","50521,32",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Securezza,6,Classic,KG,39312,,39312,Cadena Nacional,PH-Protector Incont.,INCONTINENCIA,"93,0623",5,2025,36,468,"74,88","542,88",CMADEIRENS,50000626,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140,GPC_E047C60D89,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_3795FEC1B0,RAM_E969CD999B,GRM_EA9690A4B4,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000016,50000626,100140,NT30,VED,17,6,3,6,2,23,1,1,1,10,1,15,39,4,1,11,1,demo_ids_20260218,6921bcfe6b277a40203b3971f9f2306e,
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,SECUREZZA CLASSIC L REG (6x6),8,PAK,48,PAQ,"3953,28","31626,24","5060,2","36686,44",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Securezza,6,Classic,KG,29952,,29952,Cadena Nacional,PH-Protector Incont.,INCONTINENCIA,"93,0623",5,2025,"42,48","339,84","54,37","394,21",CMADEIRENS,50000627,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140,GPC_E047C60D89,CLD_46DF47F1B9,SEC_05D49D207B,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_3795FEC1B0,RAM_E969CD999B,GRM_EA9690A4B4,GRA_55B30A1B7A,LPR_F3F5033F73,TXM_UNKNOWN,10000016,50000627,100140,NT30,VED,17,7,3,6,2,23,1,1,1,10,1,15,39,4,1,11,1,demo_ids_20260218,76891fd1fa6716c55834f72597738d6b,
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO GEL ANTIBACTERIAL 100 ML,7,CS,196,ST,"5029,08","35203,56","5632,57","40836,13",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,100,Gel,KG,"17,64",,"17,64",Cadena Nacional,PH-Gel Antibacterial,HIGIENE PERSONAL,"93,0623",5,2025,"54,04","378,28","60,52","438,8",CMADEIRENS,50001019,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140,GPC_E047C60D89,CLD_46DF47F1B9,SEC_37A53DB31E,CAN_0C1F625266,ZVT_98CB02604A,DCO_4509257306,GRV_3795FEC1B0,RAM_E969CD999B,GRM_349179422D,GRA_840BF734C1,LPR_F3F5033F73,TXM_UNKNOWN,10000016,50001019,100140,NT30,VED,17,8,3,6,2,23,1,2,1,10,1,15,39,5,2,11,1,demo_ids_20260218,199347ec9a9058e3c0ab045f8292abd7,
