Soc.;Proveedor;Nombre;Asignacion;Referencia;Clase Doc;Denominación;Nº doc.;Fecha doc.;Cond. Pago;Desc. Pago;D. Venc.;Fecha Venc;Mon.;Imp Mon Lo;Por Vencer;1 -- 30;31 -- 60;61 -- 90;91 -- 9999;Importe;Importe. M;Gr.tes.;Denominación;Ramo;Descr.Ramo;Ref.fact.;Txt.cabec.;Importe Moneda Fuerte;Moneda;Importe MF Fecha Doc
1000;10000000;ABBA CHEM SUPPLY, C.A.;;FACT 78559;SA;Documento cta.mayor;0100257614;07.10.2024;NT30;Crédito 30 Días;  474;06.11.2024;VED;-95,2400;0,0000;0,0000;0,0000;0,0000;-95,2400;0,0000;-3527,24;A15;K-Materia Prima Nacional;Z053;Materia Prima;;DF ACT 78559;-97,76;USD;-95,24
1000;10000003;ARPOPLAST, C.A.;;DF FT 25086;SA;Documento cta.mayor;0100250251;26.07.2024;NT15;Crédito 15 Días;  562;10.08.2024;VED;-131,9200;0,0000;0,0000;0,0000;0,0000;-131,9200;0,0000;-4825,73;A16;K-Material de Empaque;Z055;Material De Empaque;;;-144,13;USD;-131,92
1000;10000003;ARPOPLAST, C.A.;;DF FT 25111;SA;Documento cta.mayor;0100252211;12.08.2024;NT15;Crédito 15 Días;  545;27.08.2024;VED;-213,1800;0,0000;0,0000;0,0000;0,0000;-213,1800;0,0000;-7816,40;A16;K-Material de Empaque;Z055;Material De Empaque;; FT 25111;-215,02;USD;-213,18
1000;10000003;ARPOPLAST, C.A.;;;SA;Documento cta.mayor;0100256300;23.09.2024;;;0;23.09.2024;VED;63,7900;63,7900;0,0000;0,0000;0,0000;0,0000;0,0000;2348,93;A16;K-Material de Empaque;Z055;Material De Empaque;;;65,31;USD;63,79
1000;10000003;ARPOPLAST, C.A.;;;SA;Documento cta.mayor;0100260734;06.11.2024;;;0;06.11.2024;VED;2,983,6800;2983,6800;0,0000;0,0000;0,0000;0,0000;0,0000;129663,78;A16;K-Material de Empaque;Z055;Material De Empaque;;;4010,25;USD;2983,68
1000;10000003;ARPOPLAST, C.A.;00025170;00025170;RE;Factura bruto;5100024244;08.11.2024;NT15;Crédito 15 Días;  457;23.11.2024;VED;-35,9000;0,0000;0,0000;0,0000;0,0000;-35,9000;0,0000;-1586,29;A16;K-Material de Empaque;Z055;Material De Empaque;;00-00009327;-35,45;USD;-35,90
1000;10000006;COMPAÑIA ANONIMA NACIO;PAGO CANTV;PAGO CANTV;KZ;Pago acreedor;1500012245;04.10.2024;;;0;04.10.2024;VED;74,6200;74,6200;0,0000;0,0000;0,0000;0,0000;0,0000;2759,87;A38;K-Telecomunicaciones;Z044;Serv. Públicos;;PAGO CANTV;74,51;USD;74,62
1000;10000008;CAVEINCA;083701;083701;KR;Factura acreedor;1900019780;30.10.2024;NT00;Contado;  481;30.10.2024;VED;-307,8700;0,0000;0,0000;0,0000;0,0000;-307,8700;0,0000;-13000,00;A43;K-Cuotas y Suscripciones;Z010;Asociaciones;;00-003789;-294,21;USD;-307,87
1000;10000021;EURO FEED DE VENEZUELA;;;SA;Documento cta.mayor;0100261368;19.09.2024;NT30;Crédito 30 Días;  492;19.10.2024;VED;-91,8000;0,0000;0,0000;0,0000;0,0000;-91,8000;0,0000;-3376,30;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;;-91,80;USD;-91,80
1000;10000021;EURO FEED DE VENEZUELA;OC 5500010871;;ZT;Cart.Transf.Proveed.;0700021574;19.09.2024;;;0;19.09.2024;VED;2,973,3000;2973,3000;0,0000;0,0000;0,0000;0,0000;0,0000;109354,70;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;20240919-SF478;2973,30;USD;2973,30
1000;10000021;EURO FEED DE VENEZUELA;OC 5500010650;;ZT;Cart.Transf.Proveed.;0700022065;14.11.2024;;;0;14.11.2024;VED;3,758,7000;3758,7000;0,0000;0,0000;0,0000;0,0000;0,0000;169340,71;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;20241114-SF650;3758,70;USD;3758,70
1000;10000023;FABRICA DE PLASTICOS C;00014405;00014405;RE;Factura bruto;5100024063;22.10.2024;NT30;Crédito 30 Días;  459;21.11.2024;VED;-3,931,7400;0,0000;0,0000;0,0000;0,0000;-3931,7400;0,0000;-154050,52;A15;K-Materia Prima Nacional;Z053;Materia Prima;;00-010570;-3768,33;USD;-3931,74
1000;10000023;FABRICA DE PLASTICOS C;00014413;00014413;RE;Factura bruto;5100024064;23.10.2024;NT30;Crédito 30 Días;  458;22.11.2024;VED;-1,487,5100;0,0000;0,0000;0,0000;0,0000;-1487,5100;0,0000;-58493,49;A15;K-Materia Prima Nacional;Z053;Materia Prima;;00-010578;-1430,84;USD;-1487,51
1000;10000023;FABRICA DE PLASTICOS C;00014425;00014425;RE;Factura bruto;5100024096;27.10.2024;NT30;Crédito 30 Días;  454;26.11.2024;VED;-3,936,8900;0,0000;0,0000;0,0000;0,0000;-3936,8900;0,0000;-160941,31;A15;K-Materia Prima Nacional;Z053;Materia Prima;;00-010590;-3856,16;USD;-3936,89
1000;10000023;FABRICA DE PLASTICOS C;00014448;00014448;RE;Factura bruto;5100024239;07.11.2024;NT30;Crédito 30 Días;  443;07.12.2024;VED;-6,310,7600;0,0000;0,0000;0,0000;0,0000;-6310,7600;0,0000;-276298,90;A15;K-Materia Prima Nacional;Z053;Materia Prima;;00-010618;-6253,07;USD;-6310,76
