Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11001679;ACEITE SERIGRAFICO AMPOLLAS;1200;2000;KG;375,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001681;BASE CAJA PLAST 440 X 210 X 110 MM A2;1200;1000;PZA;1000,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001684;BOLSAS PLASTICAS 50+12+12X100;1200;1000;PZA;3275,00;383847,56;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001684;BOLSAS PLASTICAS 50+12+12X100;1200;2000;PZA;733,00;85911,53;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001686;BOLSAS PLASTICAS 50+10+10X90;1200;1000;PZA;4275,00;203404,50;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001686;BOLSAS PLASTICAS 50+10+10X90;1200;2000;PZA;612,00;29118,96;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001690;BOLSAS PLASTICAS 58X60;1200;1000;PZA;4600,00;104850,11;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001690;BOLSAS PLASTICAS 58X60;1200;2000;PZA;502,00;11442,34;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001691;CAJA CARTON CORRUGADO AMPOLLA B-4.9;1200;1000;PZA;19500,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001692;CAJA CARTON FRASCOS 360 X 300;1200;1000;PZA;2735,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001695;Colgante Biberon 150ml/5 Oz 759370400141;1200;1000;PZA;300,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001699;COLORANTE LIQUIDO BLANCO 481-20058-3;1200;1000;KG;325,00;338144,21;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001699;COLORANTE LIQUIDO BLANCO 481-20058-3;1200;2000;KG;79,00;82195,05;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;1200;1000;PZA;18500,00;114893,40;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001701;ETIQ.AUTOAHESIVA.BLANCA 10,7X 4,2CM;1200;2000;PZA;4956,00;30779,01;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001703;FLEJES PAT-T-1290-D BLANCO;1200;1000;M;1320,00;19830,38;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001703;FLEJES PAT-T-1290-D BLANCO;1200;2000;M;3492,04;52460,97;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001704;GRAPAS GR-12-A-1000;1200;1000;PZA;1000,00;3863,75;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001704;GRAPAS GR-12-A-1000;1200;2000;PZA;1082,00;4180,57;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001707;MASTERBATCH AMARILLO PL13610080;1200;1000;KG;122,56;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001708;MASTERBATCH AZUL PP53610087;1200;1000;KG;90,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001709;MASTERBATCH AZUL 603228-14;1200;1000;KG;100,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001710;MASTERBATCH AZUL OSCURO 072C;1200;1000;KG;18,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001711;MASTERBATCH AZUL PL53610142;1200;1000;KG;66,86;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001712;MASTERBATCH BLANCO PEORAL 12020;1200;1000;KG;1186,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001712;MASTERBATCH BLANCO PEORAL 12020;1200;2000;KG;28,33;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001713;MASTERBATCH MORADO PL43610078;1200;1000;KG;84,48;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001714;MASTERBATCH NARANJA PP23610071;1200;1000;KG;83,45;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001716;MASTERBATCH REMAFIN-ROJO PL33610133;1200;1000;KG;154,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001717;MASTERBATCH RENOL AZUL PE53610001;1200;1000;KG;61,60;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001719;MASTERBATCH ROJO PL33610127-ZN;1200;1000;KG;101,23;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001720;MASTERBATCH VERDE DERPLAST;1200;1000;KG;352,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001722;MASTERBATCH VERDE PL63610117;1200;1000;KG;90,52;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001723;MASTERBATCH VIOLETA PP44610071;1200;1000;KG;485,55;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001724;PELICULA POLIESTRECH MANUAL 4KG;1200;1000;KG;416,00;659953,41;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001724;PELICULA POLIESTRECH MANUAL 4KG;1200;2000;KG;52,22;82847,95;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11001730;PINTURA AMPOLLAS/FRASCOS NEGRA V-2806;1200;1000;KG;299,50;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001733;PINTURA AMARILLO V-2801 (YELLOW);1200;1000;KG;48,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001734;PINTURA AMPOLLAS AMARILLA V-2802;1200;1000;KG;81,06;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001736;PINTURA AMPOLLAS BLANCA V-2800;1200;1000;KG;249,71;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001737;PINTURA AMPOLLAS NARANJA V-28211;1200;1000;KG;58,61;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001738;PINTURA AMPOLLAS ROJA  V-2803;1200;1000;KG;38,01;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001739;PINTURA AMPOLLAS VERDE  V-2804;1200;1000;KG;75,52;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001740;PINTURA ROJO RUBI V-28213 (RUBY RED);1200;1000;KG;27,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001741;PLASTICO TERMOENCONGIBLE FRASCOS;1200;1000;KG;176,73;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11001742;POLICARBONATO INYE SOPLO 124 R-111 LEXAN;1200;1000;KG;700,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001743;POLICARBONATO INYECCION SOPLADO (BIBERON;1200;1000;KG;3025,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001750;POLIETILENO BAJA DENSIDAD INYECC 2111;1200;1000;KG;17416,70;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001751;POLIPROPILENO J-440 IMPORT (05C06) 123 M;1200;2000;KG;74,46;5974,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11001756;POLIPROPILENO J-440 NACIONAL (05C06);1200;1000;KG;1200,00;406493,76;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11001758;(J-700) HOMOPOLIMERO 11H01A IMP ESENTTIA;1200;1000;KG;1448,50;123301,88;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
