Clase Orden;Texto ClOrden;Orden;Centro;Codigo_Mat;Denominacion Material;Cantidad Orden;Cantidad Recibida;UM Orden;Cantidad 2;Recibido 2;UM 2;Fecha Inicio Extrema;Fecha Fin Extrema;Fecha Inic Real;Fecha fin real;Fecha Liberacion;Reproceso;Estatus;Categoria;Maquina;Fecha-Hora
ZPS1;Orden de Fabricación-Adulto;000029001195;1002;50000569;ACTIVA SEC PERDIDAS ABUNDANTES (12X10UN);205,000;204,166;PAK;0,000;0,000;;22.01.2026;12.02.2026;30.01.2026;04.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;INCO LIGHT - TOALLAS PARA INCONTINENCIA;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001200;1002;50000632;SECUREZZA POST PARTO PREMIUM (12X10UN);3254,000;3254,747;PAK;0,000;0,000;;27.01.2026;19.02.2026;03.02.2026;13.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;INCO LIGHT - TOALLAS PARA INCONTINENCIA;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001202;1002;50000639;SIEMPRE SECO BASICO M (6X6UN);2129,000;2129,668;PAK;0,000;0,000;;31.01.2026;24.02.2026;11.02.2026;13.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;BRIEF II - PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001206;1002;50000639;SIEMPRE SECO BASICO M (6X6UN);26,000;0,000;PAK;0,000;0,000;;18.02.2026;13.03.2026;18.02.2026;00.00.0000;18.02.2026;PLAN;Liberados;SIN CLASIFICACION;BRIEF II - PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001203;1002;50000640;SIEMPRE SECO BASICO G (6X6UN);2200,000;2200,668;PAK;0,000;0,000;;04.02.2026;27.02.2026;13.02.2026;20.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;BRIEF II - PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001207;1002;50000640;SIEMPRE SECO BASICO G (6X6UN);21,000;0,000;PAK;0,000;0,000;;20.02.2026;17.03.2026;20.02.2026;00.00.0000;20.02.2026;PLAN;Liberados;SIN CLASIFICACION;BRIEF II - PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001197;1002;50000921;SECUREZZA COMFORT M REG (6x6UN);1807,000;1807,668;PAK;0,000;0,000;;26.01.2026;18.02.2026;10.12.2025;06.02.2026;03.02.2026;PLAN;Cerrado técnicamente;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS5;Orden de Fabricación Renovación;000033000346;1002;50000921;SECUREZZA COMFORT M REG (6x6UN);37,000;0,000;PAK;0,000;0,000;;19.02.2026;16.03.2026;18.02.2026;00.00.0000;19.02.2026;REPROCESO;Liberados;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001198;1002;50000922;SECUREZZA COMFORT L REG (6x6UN);1600,000;1600,668;PAK;0,000;0,000;;03.02.2026;27.02.2026;06.02.2026;10.02.2026;03.02.2026;PLAN;Cerrado técnicamente;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001204;1002;50000922;SECUREZZA COMFORT L REG (6x6UN);32,000;0,000;PAK;0,000;0,000;;10.02.2026;09.03.2026;10.02.2026;00.00.0000;10.02.2026;PLAN;Cerrado técnicamente;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS5;Orden de Fabricación Renovación;000033000345;1002;50000922;SECUREZZA COMFORT L REG (6x6UN);911,000;0,000;PAK;0,000;0,000;;19.02.2026;16.03.2026;19.02.2026;00.00.0000;19.02.2026;REPROCESO;Liberados;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001199;1002;50000957;SECUREZZA PROTECTOR DE CAMA (6X10UN);1640,000;0,000;PAK;0,000;0,000;;03.02.2026;02.03.2026;00.00.0000;00.00.0000;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;HANWEI UNDERPAD - CENTROS DE CAMA;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001201;1002;50000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);2330,000;2402,500;PAK;0,000;0,000;;04.02.2026;02.03.2026;12.01.2026;20.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;HANWEI UNDERPAD - CENTROS DE CAMA;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001205;1002;50000981;SIEMPRE SECO PROTEC DE CAMA HB(4X20UN);20,000;0,000;PAK;0,000;0,000;;10.02.2026;09.03.2026;10.02.2026;00.00.0000;10.02.2026;PLAN;Cerrado técnicamente;SIN CLASIFICACION;HANWEI UNDERPAD - CENTROS DE CAMA;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001194;1002;50001021;SECUREZZA POST PARTO (12X15UN);2636,000;2636,830;PAK;0,000;0,000;;04.02.2026;27.02.2026;10.02.2026;20.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;INCO LIGHT - TOALLAS PARA INCONTINENCIA;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001193;1002;50001047;SECUREZZA CLASSIC M (4X20UN) PROMOPACK;927,000;928,250;PAK;0,000;0,000;;21.01.2026;11.02.2026;30.01.2026;04.02.2026;03.02.2026;PLAN;Cerrado técnicamente;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001196;1002;50001048;SECUREZZA CLASSIC L (4X20UN) PROMOPACK;152,000;152,250;PAK;0,000;0,000;;03.02.2026;27.02.2026;30.01.2026;04.02.2026;03.02.2026;PLAN;Cerrado técnicamente;SIN CLASIFICACION;BRIEF I -  PAÑALES ADULTO;20.02.2026 - 22:02:07
ZPS5;Orden de Fabricación Renovación;000033000348;1002;50001095;SECUREZZA PANTS M (8X10);234,000;0,000;PAK;0,000;0,000;;20.02.2026;16.07.2026;00.00.0000;00.00.0000;20.02.2026;REPROCESO;Liberados;SIN CLASIFICACION;LÍNEA ENSAMBLAJE MAQUILA FEMENINA;20.02.2026 - 22:02:07
ZPS3;Orden de Fabricación-Femenino;000031000591;1002;50001106;FRIENDS PD REGULAR S/P (12X40UN);1102,000;1102,498;PAK;0,000;0,000;;04.02.2026;27.02.2026;02.02.2026;20.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;PANTY I - PROTECTORES DIARIOS;20.02.2026 - 22:02:07
ZPS3;Orden de Fabricación-Femenino;000031000589;1002;50001110;FRIENDS PD MANZANILLA (12X40UN);700,000;0,000;PAK;0,000;0,000;;03.02.2026;27.02.2026;00.00.0000;00.00.0000;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;PANTY I - PROTECTORES DIARIOS;20.02.2026 - 22:02:07
ZPS5;Orden de Fabricación Renovación;000033000347;1002;50001110;FRIENDS PD MANZANILLA (12X40UN);234,000;0,000;PAK;0,000;0,000;;19.02.2026;16.03.2026;19.02.2026;00.00.0000;19.02.2026;REPROCESO;Liberados;SIN CLASIFICACION;PANTY I - PROTECTORES DIARIOS;20.02.2026 - 22:02:07
ZPS1;Orden de Fabricación-Adulto;000029001192;1002;50001111;FRIENDS TS NOCTURNA SIN ALAS (12x10UN);1206,000;1206,332;PAK;0,000;0,000;;29.01.2026;20.02.2026;02.02.2026;04.02.2026;03.02.2026;PLAN;Liberados;SIN CLASIFICACION;INCO LIGHT - TOALLAS PARA INCONTINENCIA;20.02.2026 - 22:02:07
