Clase Orden;Texto ClOrden;Orden;Centro;Codigo_Mat;Denominacion Material;Cantidad Orden;Cantidad Recibida;UM Orden;Cantidad 2;Recibido 2;UM 2;Fecha Inicio Extrema;Fecha Fin Extrema;Fecha Inic Real;Fecha fin real;Fecha Liberacion;Reproceso;Estatus;Sector;Maquina;Fecha-Hora
ZPT1;Orden de Fabricación Inyección;000044001527;1300;40000565;PREFORMAS 52 GR POLAR AMBAR;762744,000;762744,000;PZA;39,663;39,663;TO;04.02.2026;13.02.2026;30.01.2026;05.02.2026;03.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-08 INYECCION PET;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001535;1300;40000565;PREFORMAS 52 GR POLAR AMBAR;1351256,000;136539,000;PZA;70,265;7,100;TO;13.02.2026;23.02.2026;14.02.2026;15.02.2026;13.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-08 INYECCION PET;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001526;1300;70000197;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);1058400,000;445200,000;PZA;45,130;18,983;TO;13.02.2026;19.02.2026;14.02.2026;15.02.2026;13.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-10 INYECCION PET;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001536;1300;70000252;PREFORMAS TRANSPARENTE 30,86GR (PCO1810);235246,000;29163,000;PZA;7,260;0,900;TO;13.02.2026;13.02.2026;14.02.2026;00.00.0000;13.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-05 INYECCION PET;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001537;1300;70000255;PREFORMAS TRANSPARENTE 17,82GRS;445536,000;445536,000;PZA;7,939;7,939;TO;20.02.2026;20.02.2026;18.02.2026;19.02.2026;18.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-12 INYECCION PET;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001525;1300;70000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);1792601,000;1792601,000;PZA;78,695;78,695;TO;08.02.2026;09.02.2026;28.01.2026;08.02.2026;03.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-10 INYECCION PET;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001534;1300;70000321;PREFORMAS TRANSPARENTE 43,90G (PCO1810);1159399,000;610144,000;PZA;50,898;26,785;TO;10.02.2026;15.02.2026;09.02.2026;13.02.2026;10.02.2026;PLAN;Liberados;INY. PREFORMA;HUSKY-10 INYECCION PET;20.02.2026 - 22:02:03
ZPT2;Orden de Fabricación Tapas;000045000588;1300;70000402;TAPA PCO 28MM 1810 DORADA 3,1 G (3.500);1848000,000;84000,000;PZA;5,729;0,260;TO;10.02.2026;10.02.2026;10.02.2026;00.00.0000;10.02.2026;PLAN;Liberados;INYECCION TAPAS;HYCAP-02 INYECCION TAPAS;20.02.2026 - 22:02:03
ZPT2;Orden de Fabricación Tapas;000045000587;1300;70000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);2520000,000;1564500,000;PZA;7,812;4,850;TO;03.02.2026;03.02.2026;03.02.2026;10.02.2026;03.02.2026;PLAN;Liberados;INYECCION TAPAS;HYCAP-02 INYECCION TAPAS;20.02.2026 - 22:02:03
ZPT4;Orden de Fabricación Renovación;000047000465;1300;70000403;TAPA PCO 28MM 1810 NATURAL 3,10G (3.500);276500,000;276500,000;PZA;0,857;0,857;TO;03.02.2026;03.02.2026;10.02.2026;00.00.0000;03.02.2026;REPROCESO;Liberados;INYECCION TAPAS;HYCAP-02 INYECCION TAPAS;20.02.2026 - 22:02:03
ZPT3;Orden de Fabricación Soplado;000046000704;1300;70000426;DESARROLLO PRODUCCION BOTELLAS;200,000;0,000;PZA;0,008;0,000;TO;05.02.2026;05.02.2026;00.00.0000;00.00.0000;05.02.2026;PLAN;Liberados;SOPLADO;KHS CORPO-03 SOPLADO;20.02.2026 - 22:02:03
ZPT3;Orden de Fabricación Soplado;000046000705;1300;70000426;DESARROLLO PRODUCCION BOTELLAS;200,000;0,000;PZA;0,008;0,000;TO;05.02.2026;05.02.2026;00.00.0000;00.00.0000;05.02.2026;PLAN;Liberados;SOPLADO;KHS CORPO-03 SOPLADO;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001531;1300;70000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;1522512,000;1522512,000;PZA;57,932;57,932;TO;15.02.2026;20.02.2026;07.02.2026;19.02.2026;05.02.2026;PLAN;Liberados;INY.PREFORMA MAQUILA;HUSKY-11 INYECCION PET;20.02.2026 - 22:02:03
ZPT3;Orden de Fabricación Soplado;000046000703;1300;70000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;1758960,000;1010520,000;PZA;91,466;52,547;TO;19.02.2026;19.02.2026;30.01.2026;20.02.2026;03.02.2026;PLAN;Liberados;SOPLADO;KHS CORPO-03 SOPLADO;20.02.2026 - 22:02:03
ZPT1;Orden de Fabricación Inyección;000044001528;1300;70000778;PREFORMAS 30,86GR TRANSPARENTE MAQUILA;1,000;0,000;PZA;0,000;0,000;TO;02.02.2026;04.02.2026;00.00.0000;00.00.0000;00.00.0000;PLAN;Cerrado técnicamente;INY. PREFORMA;HUSKY-05 INYECCION PET;20.02.2026 - 22:02:03
