Codigo_Mat;Orden;Origen;Denominacion Material;UMB;Cant.Plan;Cant.Real;Var.Consumo;(%)Var.Consumo;Tot.Cos.Plan;Tot.Cos.Real;Precio Std;Precio Var.;Var.Precio;Val.Var.Prec.;Val.Var.Con.;Tot.Variación;C.Planificada;C.Entregada
000000000050000569;000029001195;000000000011000356;PAPEL SILICONADO 4 CM ACT 13-03;KG;7,938;9,316;1,264;17;77265,35;6093,66;11.563,81000;777,12523;-10.786,68;-92.193,78;13409,78;-71171,67;205,000;204,166
000000000050001111;000029001192;000000000011000356;PAPEL SILICONADO 4 CM ACT 13-03;KG;64,437;75,118;9,537;17;610367,60;47818,12;11.882,08000;798,51341;-11.083,56;-743.374,69;101178,03;-562549,37;1206,000;1206,332
000000000051000028;000060000302;000000000011000356;PAPEL SILICONADO 4 CM;KG;27,405;0,008;-27,397;-100;290739,65;5,70;10609,00000;712,50000;-9896,50;-79,17;-290654,77;-290733,94;300,000;206,166
000000000050000632;000029001200;000000000011000356;PAPEL SILICONADO 4 CM;KG;155,233;160,200;4,967;3;1646866,90;114215,94;10609,00000;712,95843;-9896,04;-1585345,61;52694,90;-1532650,71;3254,000;3254,747
000000000050001106;000031000591;000000000011000356;PAPEL SILICONADO 4 CM;KG;100,668;107,877;7,209;7;1067986,81;76911,83;10609,00000;712,95855;-9896,04;-1067555,11;76480,28;-991074,83;1102,000;1102,498
000000000050001111;000029001192;000000000011000369;HOT MELT P/ELASTICAS;KG;12,241;18,000;5,759;47;18618,56;13849,84;1521,00000;769,43556;-751,56;-13528,08;8759,44;-4768,64;1206,000;1206,332
000000000050000921;000029001197;000000000011000369;HOT MELT P/ELASTICAS;KG;49,521;25,012;-24,509;-49;75321,44;19245,14;1521,00000;769,43627;-751,56;-18798,02;-37278,19;-56076,21;1807,000;1807,668
000000000050001048;000029001196;000000000011000369;HOT MELT P/ELASTICAS;KG;10,800;8,800;-2,000;-19;16426,80;6771,04;1521,00000;769,43636;-751,56;-6613,73;-3042,00;-9655,73;152,000;152,250
000000000050000632;000029001200;000000000011000369;HOT MELT P/ELASTICAS;KG;33,029;33,029;0,000;0;50237,11;25413,69;1521,00000;769,43565;-751,56;-24823,28;0,00;-24823,28;3254,000;3254,747
000000000050000639;000029001202;000000000011000369;HOT MELT P/ELASTICAS;KG;56,185;16,313;-39,872;-71;85457,39;12551,80;1521,00000;769,43542;-751,56;-12260,20;-60645,31;-72905,51;2129,000;2129,668
