Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
10000009;ETIQUETAS COCA COLA CONTOUR 1,500 L ACT 13-03;1300;1000;KG;0,00;0,00;0,000;0,00;0,000;0,00;13.03.2026 - 08:15:00;ZMAP;1000-Materia Prima;1300-Proyectos PET
10001780;ETIQUETAS COCA COLA BAJA CAL 1,500 L ACT 13-03;1300;2000;KG;0,00;0,00;0,000;0,00;0,000;0,00;13.03.2026 - 08:15:00;ZMAP;2000-Producción;1300-Proyectos PET
10001804;ETIQUETAS COCA COLA BAJA CAL 2,000 L;1300;2000;KG;0,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;2000-Producción;1300-Proyectos PET
11000478;HOT MELT CONSTRUCCION;1300;1000;KG;45,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;1000-Materia Prima;1300-Proyectos PET
11000478;HOT MELT CONSTRUCCION;1300;2000;KG;15,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;2000-Producción;1300-Proyectos PET
11001698;COLORANTE LÍQUIDO AZUL  FE52606524;1300;1000;KG;150,00;346050,51;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;1000-Materia Prima;1300-Proyectos PET
11001703;FLEJES PAT-T-1290-D BLANCO;1300;1000;M;51480,00;1426012,10;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;1000-Materia Prima;1300-Proyectos PET
11001703;FLEJES PAT-T-1290-D BLANCO;1300;2000;M;5744,30;145214,89;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2000-Producción;1300-Proyectos PET
11001704;GRAPAS GR-12-A-1000;1300;1000;PZA;3000,00;48969,47;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;1000-Materia Prima;1300-Proyectos PET
11001704;GRAPAS GR-12-A-1000;1300;2000;PZA;1034,00;16597,39;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2000-Producción;1300-Proyectos PET
11001715;MASTERBATCH NEGRO;1300;1000;KG;67,40;1888,39;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;1000-Materia Prima;1300-Proyectos PET
11001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;1300;1000;PZA;6833,00;8951041,32;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;1000-Materia Prima;1300-Proyectos PET
11001859;BOLSAS DE POLIETILENO DIMEN 124*250 PREF;1300;2000;PZA;376,00;410559,74;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2000-Producción;1300-Proyectos PET
11001860;BOLSAS DE POLIETILENO  112*86  50 MICRAS;1300;1000;PZA;3421,00;131307,17;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;1000-Materia Prima;1300-Proyectos PET
11001860;BOLSAS DE POLIETILENO  112*86  50 MICRAS;1300;2000;PZA;361,00;16590,54;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2000-Producción;1300-Proyectos PET
11001865;Cestas 250;1300;2003;PZA;72,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2003-Semiterminados;1300-Proyectos PET
11001866;Cestas 270;1300;2003;PZA;33,00;851789,61;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2003-Semiterminados;1300-Proyectos PET
11001867;Cestas 370;1300;2003;PZA;257,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2003-Semiterminados;1300-Proyectos PET
11001869;COLORANTE LIQUIDO VERDE 484-10163-2;1300;1000;KG;138,20;318640,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;1000-Materia Prima;1300-Proyectos PET
11001869;COLORANTE LIQUIDO VERDE 484-10163-2;1300;2000;KG;7,20;15837,42;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZMAP;2000-Producción;1300-Proyectos PET
11001881;ETIQUETAS IDENTIF  P/TAPAS  10.7X4.2 CM;1300;1000;PZA;2500,00;4748,86;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;1000-Materia Prima;1300-Proyectos PET
11001881;ETIQUETAS IDENTIF  P/TAPAS  10.7X4.2 CM;1300;2000;PZA;3136,00;4173,18;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:37;ZEMP;2000-Producción;1300-Proyectos PET
