Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11000356;PAPEL SILICONADO 4 CM ACT 13-03;1002;1000;KG;1.641,14;1.040.955,27;0,000;0,00;36,736;31.733,30;13.03.2026 - 08:15:00;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11000356;PAPEL SILICONADO 4 CM ACT 13-03;1002;2000;KG;374,81;279.625,39;0,000;0,00;0,000;0,00;13.03.2026 - 08:15:00;ZMAP;2000-Producción;1002-Pharsana Higienico
11000362;PAPEL SILICONADO 6  CM;1002;1000;KG;167,30;32028,10;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11000362;PAPEL SILICONADO 6  CM;1002;2000;KG;43,20;8411,80;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000368;HOT MELT POSICIONADOR;1002;1007;KG;15275,50;11809,12;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1007-Rechazado;1002-Pharsana Higienico
11000369;HOT MELT P/ELASTICAS;1002;1000;KG;2320,00;1656611,67;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11000369;HOT MELT P/ELASTICAS;1002;2000;KG;1143,57;1041498,82;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000370;TAPE TRILAMINADO;1002;2000;M;1775,69;15073,31;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11000370;TAPE TRILAMINADO;1002;2002;M;17100,00;121537,26;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2002-Rechazado;1002-Pharsana Higienico
11000388;ACEITE VASSA 7;1000;1000;KG;2186,25;3036277,46;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11000388;ACEITE VASSA 7;1000;2000;KG;0,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1000-Pharsana Valencia
