Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector
50000106;AMY TALCO PARA BEBES (24x200G) ACT 13-03;1000;3000;CS;0,00;0,000;1,193;13.03.2026 - 08:15:00;HIGIENE PERSONAL;Amy;PH-Talco;Cuidado Personal
50000106;AMY TALCO PARA BEBES (24x200G) ACT 13-03;1001;3000;CS;419,65;0,000;0,000;13.03.2026 - 08:15:00;HIGIENE PERSONAL;Amy;PH-Talco;Cuidado Personal
50000443;AMY HISOPOS (48x60UN);1001;3000;CS;626,00;139,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Amy;PH-Hisopos;Cuidado Personal
50000495;AMY LOCION PARA BEBES (10x200ML);1001;3000;CS;448,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Amy;PH-Loción;Cuidado Personal
50000517;AMY MOTAS DE ALGODON (12x50UN);1001;3000;CS;457,00;150,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Amy;PH-Motas De Algodón;Cuidado Personal
50000532;AMY CHAMPU PARA BEBES (10x200ML);1001;3000;CS;350,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Amy;PH-Champú;Cuidado Personal
50000569;ACTIVA SEC PERDIDAS ABUNDANTES (12X10UN);1001;3000;PAK;363,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Activa;PH-Toalla Incontinen;Absorbentes
50000626;SECUREZZA CLASSIC M REG (6x6UN);1001;3000;PAK;1750,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50000627;SECUREZZA CLASSIC L REG (6x6UN);1001;3000;PAK;1867,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Protector Incont.;Absorbentes
50000632;SECUREZZA POST PARTO PREMIUM (12X10UN);1001;3000;PAK;5487,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Toalla Post-Parto;Absorbentes
50000639;SIEMPRE SECO BASICO M (6X6UN);1001;3000;PAK;3730,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Siempre Seco;PH-Protector Incont.;Absorbentes
