  Doc.comer.;Denominación;Fecha doc.;Ctd.conf.;Pedido;Nº de pedido;Fe.entrega;Creado;Solic.;Tp.cambio;Ctd.ped.;Alm.;Material;UMB;Nombre 1;MonCd;   Prc.neto;   Valor neto;       Neto;Status;GVen;UM;Sal.mcías.;Mon.;Fe.precio;Creado el;Hora;ClVt;Und;CB;Carácter;Número;Vendedor;Tx Gr.Ventas;Fe.ped.APP;Hora APP
1013036636;NC DSCTO 3% PRONTO PAGO ACT 13-03;13.03.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002669;1,09000;1,000;;91000028;UN;AUTOMERCADO MAXI,C.A ACT 13-03;;821,78;821,78;821,78;pendiente;101;UN;00.00.0000;VED;27.01.2026;20.02.2026;081500;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;081500
1013036635;NC DSCTO 3% PRONTO PAGO ACT 13-03;13.03.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002669;1,12000;1,000;;91000028;UN;AUTOMERCADO MAXI,C.A ACT 13-03;;1.589,40;1.589,40;1.589,40;pendiente;101;UN;00.00.0000;VED;27.01.2026;20.02.2026;081500;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;081500
1013036634;NC DSCTO 3% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002669;1,00000;1,000;;91000028;UN;AUTOMERCADO MAXI,C.A;;2.401,36;           2.401,36;2.401,36;pendiente;101;UN;00.00.0000;VED;27.01.2026;20.02.2026;181830;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036633;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002278;1,00000;1,000;;91000028;UN;ROJOLUJE, C.A;;3.745,84;           3.745,84;3.745,84;pendiente;101;UN;00.00.0000;VED;11.02.2026;20.02.2026;174711;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036632;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002278;1,00000;1,000;;91000028;UN;ROJOLUJE, C.A;;7.523,91;           7.523,91;7.523,91;pendiente;101;UN;00.00.0000;VED;11.02.2026;20.02.2026;174615;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036631;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002278;1,00000;1,000;;91000028;UN;ROJOLUJE, C.A;;16.685,22;          16.685,22;16.685,22;pendiente;101;UN;00.00.0000;VED;11.02.2026;20.02.2026;174443;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036630;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10000177;1,00000;1,000;;91000028;UN;SUPERMERCADO LA GLORIA C A;;2.178,35;           2.178,35;2.178,35;pendiente;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;170820;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036629;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10000177;1,00000;1,000;;91000028;UN;SUPERMERCADO LA GLORIA C A;;1.910,45;1.623,70;1.910,45;pendiente;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;170705;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036628;NC DSCTO 3% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 3% PRONTO P;NC DSCTO 3% PRONTO PAGO;00.00.0000;ACARDOZO;10003031;1,00000;1,000;;91000028;UN;MUNDO FORTUNA,C.A;;3.136,27;           3.136,27;3.136,27;pendiente;101;UN;00.00.0000;VED;11.02.2026;20.02.2026;165359;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036627;NC DSCTO 3% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 3% PRONTO P;NC DSCTO 3% PRONTO PAGO;00.00.0000;ACARDOZO;10003031;1,00000;1,000;;91000028;UN;MUNDO FORTUNA,C.A;;742,94;             742,94;742,94;pendiente;101;UN;00.00.0000;VED;11.02.2026;20.02.2026;165258;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036626;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002935;1,00000;1,000;;91000028;UN;BELLA MARKET MONAGAS, C.A;;1.009,50;           1.009,50;1.009,50;concluido/a;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;163439;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036625;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10002935;1,00000;1,000;;91000028;UN;BELLA MARKET MONAGAS, C.A;;1.958,70;           1.958,70;1.958,70;concluido/a;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;163342;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036624;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10000355;1,00000;1,000;;91000028;UN;HIPERMERCADO ASIA ORIENTAL, C.A;;9.791,38;           9.791,38;9.791,38;concluido/a;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;160901;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036623;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10000355;1,00000;1,000;;91000028;UN;HIPERMERCADO ASIA ORIENTAL, C.A;;11.621,75;12.054,53;11.621,75;concluido/a;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;160723;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036622;NC DSCTO 5% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 5% PRONTO P;NC DSCTO 5% PRONTO PAGO;00.00.0000;ACARDOZO;10000355;1,00000;1,000;;91000028;UN;HIPERMERCADO ASIA ORIENTAL, C.A;;9.254,91;           9.254,91;9.254,91;concluido/a;101;UN;00.00.0000;VED;30.01.2026;20.02.2026;160613;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036621;NC DSCTO 3% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 3% PRONTO P;NC DSCTO 3% PRONTO PAGO;00.00.0000;ACARDOZO;10003432;1,00000;1,000;;91000028;UN;MAXI LIBERTADOR, C.A;;675,61;             675,61;675,61;concluido/a;101;UN;00.00.0000;VED;27.01.2026;20.02.2026;153558;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036620;NC DSCTO 3% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 3% PRONTO P;NC DSCTO 3% PRONTO PAGO;00.00.0000;ACARDOZO;10003432;1,00000;1,000;;91000028;UN;MAXI LIBERTADOR, C.A;;2.995,80;           2.995,80;2.995,80;concluido/a;101;UN;00.00.0000;VED;27.01.2026;20.02.2026;153227;ZG05;1,000;1,000;;100057;TREICY C. ROCA;GV Ger. Reg. Oriente;;
1013036619;NC DSCTO 8% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 8% PRONTO P;NC DSCTO 8% PRONTO PAGO;00.00.0000;ENIEVES;10000192;396,36740;1,000;;91000028;UN;COMERCIAL BELLA VISTA, C.A.;;20,00;              20,00;20,00;concluido/a;10B;UN;00.00.0000;USD;18.02.2026;20.02.2026;152125;ZG05;1,000;1,000;;100147;LUIS O. MENDOZA;GV Ger. Reg. Cen.Occ;;
1013036618;NC DSCTO 3% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 3% PRONTO P;NC DSCTO 3% PRONTO PAGO;00.00.0000;ENIEVES;10003308;352,70630;1,000;;91000028;UN;MULTITIENDAS FARMAPLUS GRAN;;14,02;              14,02;14,02;concluido/a;100;UN;00.00.0000;USD;23.01.2026;20.02.2026;150015;ZG05;1,000;1,000;;100048;ALEXANDER JOSE MOGOLLON;GV. Ger. Reg. Occid.;;
1013036617;NC DSCTO 6% PRONTO PAGO;20.02.2026;1,000;NC DSCTO 6% PRONTO P;NC DSCTO 6% PRONTO PAGO;00.00.0000;ENIEVES;10003181;388,73940;1,000;;91000028;UN;FARMACIA FARMA SERVICIO LA CANDELAR;;12,00;12,40;12,00;concluido/a;100;UN;00.00.0000;USD;11.02.2026;20.02.2026;140126;ZG05;1,000;1,000;;100105;RICHIE K. MORILLO;GV. Ger. Reg. Occid.;;
