Razón Social,Gpo de Cliente,ClaseDoc.,Num.Factura,Sector,Canal,Fecha.Doc,Zona.Vtas,Almacen,Denominacion Material,Cantidad UMV,UM.Vtas,Cantidad UMB,UM.Base,Prec.Unitario,Monto Neto,IVA,Importe Final,Doc.Comercial,Cond.Pago,Fec.Venc.,Moneda.Doc.,Status de Anulacion,Doc.Anulac,Grp.Vend,Vendedor,Referencia,Pedido.Vta,Jerarquía 1,Jerarquía 2,Jerarquía 3,UM.Peso,Peso.Fact,Peso.Total,Um.PesoGen,Ramo,Gr.Material,Gr.Articulo,Tipo.Cambio,Mes,Ejercicio,Prec.Unitario 2,Monto Neto 2,IVA 2,Importe Final 2,Conc.Busq,Codigo_Mat,Listas_precios,,Cod_cliente,,Ind_retcl,Ind_auto_retcl,fechahora,CodMot,Tx Motivo,CodVend
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Absorbentes,Venta Directa,20250514,Zona Andina,3000,SECUREZZA POST PARTO PREMIUM (12X10),5,PAK,60,PAQ,"2212,2",11061,"1769,76","12830,76",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Securezza,10,Anatómica,KG,10500,,10500,Mayorista,PH-Toalla Post-Parto,INCONTINENCIA,"93,5796",5,2025,"23,64","118,2","18,91","137,11",MEIS,50000632,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Absorbentes,Venta Directa,20250514,Zona Andina,3000,SECUREZZA POST PARTO  (12X15),5,PAK,60,PAQ,"2683,92","13419,6","2147,14","15566,74",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Securezza,15,Anatómica,KG,10500,,10500,Mayorista,PH-Toalla Post-Parto,INCONTINENCIA,"93,5796",5,2025,"28,68","143,4","22,94","166,35",MEIS,50001021,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Cuidado Personal,Venta Directa,20250514,Zona Andina,3000,CHICCO COLONIA 100ML,5,CS,140,ST,"6157,48","30787,4","4925,98","35713,38",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Chicco,100,Original,KG,"12,32",,"12,32",Mayorista,PH-Colonia,HIGIENE PERSONAL,"93,5796",5,2025,"65,8",329,"52,64","381,64",MEIS,50001011,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026
MEIS UNIVERSAL COMPAÑIA ANONIMA,Mayoristas,Fact. Nac. Pharsana,6000123628,Cuidado Personal,Venta Directa,20250514,Zona Andina,3000,CHICCO COLONIA 220 ML,10,CS,100,ST,"4005,2",40052,"6408,32","46460,32",Factura,Crédito 15 Días,20250529,VED,NA,,GV. Ger. Reg. Occid.,PEDRO A. COLMENARES,00-0606701,1002056586,Chicco,220,Original,KG,"19,8",,"19,8",Mayorista,PH-Colonia,HIGIENE PERSONAL,"93,5796",5,2025,"42,8",428,"68,48","496,48",MEIS,50000970,Mayoristas,,10000007,16,1,X,02.07.2025 - 08:40:06,,,100026
"CASA TOKIO HIPERMERCADO 2, C.A",Detal,Fact. Nac. Pharsana,6000124266,Cuidado Personal,Venta Directa,20250522,Zona Metropolitana,3000,CHICCO COLONIA 100ML,1,CS,28,ST,"6700,68","6700,68","1072,11","7772,79",Factura,Crédito 15 Días,20250606,VED,NA,,GV Ger. Reg. Capital,TULIO R. PUENTES,00-0607450,1002056959,Chicco,100,Original,KG,"2,464",,"2,464",Perfumeria,PH-Colonia,HIGIENE PERSONAL,"94,9652",5,2025,"70,56","70,56","11,29","81,85",,50001011,Detal,,10000015,30,1,X,02.07.2025 - 08:40:06,,,100012
"CASA TOKIO HIPERMERCADO 2, C.A",Detal,Fact. Nac. Pharsana,6000124266,Cuidado Personal,Venta Directa,20250522,Zona Metropolitana,3000,CHICCO TH ORIGINAL 48P,1,CS,20,PAQ,"3152,8","3152,8","504,45","3657,25",Factura,Crédito 15 Días,20250606,VED,NA,,GV Ger. Reg. Capital,TULIO R. PUENTES,00-0607450,1002056959,Chicco,48,Original,KG,"5,18",,"5,18",Perfumeria,PH-TH Flow Pack,TOALLAS HUMEDAS,"94,9652",5,2025,"33,2","33,2","5,31","38,51",,50000975,Detal,,10000015,30,1,X,02.07.2025 - 08:40:06,,,100012
"CASA TOKIO HIPERMERCADO 2, C.A",Detal,Fact. Nac. Pharsana,6000124266,Absorbentes,Venta Directa,20250522,Zona Metropolitana,3000,SECUREZZA POST PARTO  (12X15),1,PAK,12,PAQ,"2917,32","2917,32","466,77","3384,09",Factura,Crédito 15 Días,20250606,VED,NA,,GV Ger. Reg. Capital,TULIO R. PUENTES,00-0607450,1002056959,Securezza,15,Anatómica,KG,2100,,2100,Perfumeria,PH-Toalla Post-Parto,INCONTINENCIA,"94,9652",5,2025,"30,72","30,72","4,92","35,64",,50001021,Detal,,10000015,30,1,X,02.07.2025 - 08:40:06,,,100012
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,SECUREZZA CLASSIC M REG (6x6),13,PAK,78,PAQ,"3350,22","43552,86","6968,46","50521,32",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Securezza,6,Classic,KG,39312,,39312,Cadena Nacional,PH-Protector Incont.,INCONTINENCIA,"93,0623",5,2025,36,468,"74,88","542,88",CMADEIRENS,50000626,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,SECUREZZA CLASSIC L REG (6x6),8,PAK,48,PAQ,"3953,28","31626,24","5060,2","36686,44",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Securezza,6,Classic,KG,29952,,29952,Cadena Nacional,PH-Protector Incont.,INCONTINENCIA,"93,0623",5,2025,"42,48","339,84","54,37","394,21",CMADEIRENS,50000627,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO GEL ANTIBACTERIAL 100 ML,7,CS,196,ST,"5029,08","35203,56","5632,57","40836,13",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,100,Gel,KG,"17,64",,"17,64",Cadena Nacional,PH-Gel Antibacterial,HIGIENE PERSONAL,"93,0623",5,2025,"54,04","378,28","60,52","438,8",CMADEIRENS,50001019,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO MOTAS DE ALGODON 100P,10,CS,120,PAQ,"4310,64","43106,4","6897,02","50003,42",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,100,Original,KG,"10,512",,"10,512",Cadena Nacional,PH-Motas De Algodón,ALGODONES PT,"93,0623",5,2025,"46,32","463,2","74,11","537,31",CMADEIRENS,50000010,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,FRIENDS PD REGULAR S/P (12X60),9,PAK,108,PAQ,"3216,24","28946,16","4631,39","33577,55",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Friends,60,Regular,KG,16200,,16200,Cadena Nacional,PH-Protector Diario,ABSORBENTES FEMENINA,"93,0623",5,2025,"34,56","311,04","49,77","360,81",CMADEIRENS,50001107,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO COTONCITO 60 PZA,16,CS,768,PAQ,"4958,4","79334,4","12693,5","92027,9",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,60,Original,KG,"9,984",,"9,984",Cadena Nacional,PH-Hisopos,ALGODONES PT,"93,0623",5,2025,"53,28","852,49","136,4","988,88",CMADEIRENS,50001024,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
